Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,98.6,60.8,"[[6.5862e+03 3.1560e+02]
 [1.1600e+01 4.4000e+00]]","[[27172.2   435. ]
 [    0.     64. ]]",0,34509,0,80,23121,53,11388,27
2,98.6,60.8,"[[6.5858e+03 3.1540e+02]
 [1.1600e+01 4.4000e+00]]","[[27169.8   435. ]
 [    0.     64. ]]",3,34506,0,80,23122,50,11384,30
4,98.6,60.8,"[[6.5858e+03 3.1540e+02]
 [1.1600e+01 4.4000e+00]]","[[27169.8   435. ]
 [    0.     64. ]]",3,34506,0,80,23117,55,11389,25
6,98.6,60.8,"[[6.5858e+03 3.1540e+02]
 [1.1600e+01 4.4000e+00]]","[[27169.8   435. ]
 [    0.     64. ]]",3,34506,0,80,23110,62,11396,18
8,98.6,60.8,"[[6.5842e+03 3.1620e+02]
 [1.1600e+01 4.4000e+00]]","[[27166.6   435. ]
 [    0.     64. ]]",7,34502,0,80,23109,60,11393,20
10,98.6,60.8,"[[6.5644e+03 3.1880e+02]
 [1.1600e+01 4.4000e+00]]","[[27098.6   434.2]
 [    0.     64. ]]",93,34416,0,80,23054,58,11362,22
12,99.0,59.0,"[[6.3778e+03 3.9240e+02]
 [1.2000e+01 4.0000e+00]]","[[26653.8   427. ]
 [    0.     64. ]]",658,33851,0,80,22682,51,11169,29
14,98.6,59.4,"[[6.1796e+03 3.2520e+02]
 [1.2000e+01 4.0000e+00]]","[[25575.8   443.4]
 [    0.     64. ]]",1985,32524,0,80,21800,44,10724,36
16,98.8,57.2,"[[5.641e+03 4.050e+02]
 [1.240e+01 3.600e+00]]","[[23758.6   425.4]
 [    0.     64. ]]",4279,30230,0,80,20252,55,9978,25
18,98.4,59.2,"[[4.7088e+03 4.7760e+02]
 [1.1400e+01 4.6000e+00]]","[[20362.8   382.8]
 [    0.     64. ]]",8577,25932,0,80,17368,60,8564,20
20,98.6,65.2,"[[3605.4  164.8]
 [   8.8    5. ]]","[[14854.2   226.6]
 [    0.     55.2]]",15658,18851,11,69,12638,38,6213,31
22,99.0,60.6,"[[2382.4  114. ]
 [   9.     3.4]]","[[9849.2  136.4]
 [   0.    49.6]]",22027,12482,18,62,8365,39,4117,23
24,99.0,59.2,"[[1389.    94. ]
 [   7.6    2.6]]","[[5875.2   56.8]
 [   0.    40.8]]",27094,7415,29,51,4970,32,2445,19
26,99.0,61.0,"[[784.   37.6]
 [  6.4   2.4]]","[[3254.8   31.6]
 [   0.    35.2]]",30401,4108,36,44,2750,31,1358,13
28,99.2,62.8,"[[537.2  63. ]
 [  4.2   2.6]]","[[2394.     6.8]
 [   0.    27.2]]",31508,3001,46,34,2010,23,991,11
30,99.4,67.0,"[[473.2  42.4]
 [  3.6   2.8]]","[[2060.     2.4]
 [   0.    25.6]]",31931,2578,48,32,1730,18,848,14
32,99.4,58.8,"[[428.6  23. ]
 [  4.4   1.4]]","[[1804.2    2.2]
 [   0.    23.2]]",32251,2258,51,29,1517,15,741,14
34,99.6,59.6,"[[386.   13.2]
 [  4.    1.2]]","[[1595.2    1.6]
 [   0.    20.8]]",32513,1996,54,26,1339,15,657,11
36,99.8,61.0,"[[341.   21.2]
 [  3.6   1.4]]","[[1.4486e+03 2.0000e-01]
 [0.0000e+00 2.0000e+01]]",32698,1811,55,25,1215,15,596,10
38,100.0,59.0,"[[307.4  20.6]
 [  3.    1. ]]","[[1312.    0.]
 [   0.   16.]]",32869,1640,60,20,1098,14,542,6
40,100.0,56.8,"[[273.2  18.2]
 [  2.6   0.6]]","[[1165.6    0. ]
 [   0.    12.8]]",33052,1457,64,16,974,12,483,4
42,100.0,58.2,"[[249.4   7.6]
 [  2.4   0.6]]","[[1028.    0.]
 [   0.   12.]]",33224,1285,65,15,860,11,425,4
44,100.0,58.2,"[[222.2   6.6]
 [  2.4   0.6]]","[[915.2   0. ]
 [  0.   12. ]]",33365,1144,65,15,765,11,379,4
46,100.0,64.6,"[[192.4   6.6]
 [  1.8   1. ]]","[[796.    0. ]
 [  0.   11.2]]",33514,995,66,14,669,7,326,7
48,100.0,68.6,"[[176.    4.6]
 [  1.6   1. ]]","[[722.4   0. ]
 [  0.   10.4]]",33606,903,67,13,606,7,297,6
50,100.0,57.0,"[[152.8   8.6]
 [  2.2   0.4]]","[[645.6   0. ]
 [  0.   10.4]]",33702,807,67,13,537,12,270,1
52,100.0,58.0,"[[137.2   5.2]
 [  2.    0.4]]","[[569.6   0. ]
 [  0.    9.6]]",33797,712,68,12,479,6,233,6
54,100.0,56.6,"[[120.6   8.2]
 [  1.8   0.6]]","[[515.2   0. ]
 [  0.    9.6]]",33865,644,68,12,428,11,216,1
56,100.0,56.6,"[[106.8   7.4]
 [  1.6   0.2]]","[[456.8   0. ]
 [  0.    7.2]]",33938,571,71,9,382,6,189,3
58,100.0,76.6,"[[98.   6.8]
 [ 0.6  0.6]]","[[419.2   0. ]
 [  0.    4.8]]",33985,524,74,6,350,5,174,1
60,100.0,76.4,"[[86.4  6.2]
 [ 0.6  0.6]]","[[370.4   0. ]
 [  0.    4.8]]",34046,463,74,6,311,3,152,3
62,100.0,66.2,"[[76.   6. ]
 [ 0.6  0.6]]","[[328.    0. ]
 [  0.    4.8]]",34099,410,74,6,274,4,136,2
64,100.0,75.2,"[[67.2  6.6]
 [ 0.6  0.6]]","[[295.2   0. ]
 [  0.    4.8]]",34140,369,74,6,246,5,123,1
66,100.0,66.2,"[[60.4  4.6]
 [ 0.6  0.4]]","[[260.   0.]
 [  0.   4.]]",34184,325,75,5,217,4,108,1
68,62.5,30.0,"[[11.2  0. ]
 [ 0.2  0. ]]","[[45.6  0. ]
 [ 0.   0.2]]",34225,284,78,2,189,2,95,0
70,62.5,30.0,"[[10.2  0. ]
 [ 0.2  0. ]]","[[41.6  0. ]
 [ 0.   0.2]]",34250,259,78,2,172,2,87,0
72,62.5,29.6,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34294,215,78,2,144,1,71,1
74,44.44444444444444,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34333,176,79,1,117,1,59,0
76,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34352,157,80,0,105,0,52,0
78,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34373,136,80,0,91,0,45,0
