Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,55.6,"[[6.864e+03 5.140e+01]
 [1.380e+01 2.000e+00]]","[[27661.6     0. ]
 [    0.     63.2]]",0,34577,0,79,23167,52,11410,27
2,100.0,51.0,"[[6.8578e+03 5.7000e+01]
 [1.5200e+01 6.0000e-01]]","[[27659.2     0. ]
 [    0.     63.2]]",3,34574,0,79,23160,57,11414,22
4,100.0,52.8,"[[6.8552e+03 5.9600e+01]
 [1.4600e+01 1.2000e+00]]","[[27659.2     0. ]
 [    0.     63.2]]",3,34574,0,79,23162,55,11412,24
6,100.0,51.0,"[[6.8622e+03 5.2600e+01]
 [1.5200e+01 6.0000e-01]]","[[27659.2     0. ]
 [    0.     63.2]]",3,34574,0,79,23162,55,11412,24
8,100.0,51.0,"[[6.8562e+03 5.8600e+01]
 [1.5200e+01 6.0000e-01]]","[[27659.2     0. ]
 [    0.     63.2]]",3,34574,0,79,23160,57,11414,22
10,100.0,51.0,"[[6.8562e+03 5.8600e+01]
 [1.5200e+01 6.0000e-01]]","[[27659.2     0. ]
 [    0.     63.2]]",3,34574,0,79,23165,52,11409,27
12,100.0,52.8,"[[6.8532e+03 6.1600e+01]
 [1.4600e+01 1.2000e+00]]","[[27659.2     0. ]
 [    0.     63.2]]",3,34574,0,79,23163,54,11411,25
14,100.0,52.8,"[[6.854e+03 6.080e+01]
 [1.460e+01 1.200e+00]]","[[27659.2     0. ]
 [    0.     63.2]]",3,34574,0,79,23164,53,11410,26
16,100.0,52.8,"[[6.8536e+03 6.1200e+01]
 [1.4600e+01 1.2000e+00]]","[[27659.2     0. ]
 [    0.     63.2]]",3,34574,0,79,23156,61,11418,18
18,100.0,55.8,"[[6.86e+03 5.46e+01]
 [1.38e+01 2.00e+00]]","[[27658.4     0. ]
 [    0.     63.2]]",4,34573,0,79,23156,60,11417,19
20,100.0,55.8,"[[6.8556e+03 5.9000e+01]
 [1.3800e+01 2.0000e+00]]","[[27658.4     0. ]
 [    0.     63.2]]",4,34573,0,79,23162,54,11411,25
22,100.0,55.8,"[[6.8568e+03 5.7800e+01]
 [1.3800e+01 2.0000e+00]]","[[27658.4     0. ]
 [    0.     63.2]]",4,34573,0,79,23162,54,11411,25
24,100.0,55.4,"[[6.8538e+03 6.0600e+01]
 [1.3800e+01 2.0000e+00]]","[[27657.6     0. ]
 [    0.     63.2]]",5,34572,0,79,23158,58,11414,21
26,100.0,52.8,"[[6.8274e+03 6.0400e+01]
 [1.4600e+01 1.2000e+00]]","[[27551.2     0. ]
 [    0.     63.2]]",138,34439,0,79,23078,49,11361,30
28,100.0,56.0,"[[6.66e+03 7.12e+01]
 [1.36e+01 2.20e+00]]","[[26924.8     0. ]
 [    0.     63.2]]",921,33656,0,79,22547,55,11109,24
30,100.0,55.4,"[[6.3644e+03 7.7000e+01]
 [1.3800e+01 2.0000e+00]]","[[25765.6     0. ]
 [    0.     63.2]]",2370,32207,0,79,21573,58,10634,21
32,100.0,55.8,"[[5.7038e+03 7.4400e+01]
 [1.3600e+01 2.2000e+00]]","[[23112.8     0. ]
 [    0.     63.2]]",5686,28891,0,79,19363,46,9528,33
34,100.0,53.6,"[[4.1148e+03 6.2000e+01]
 [1.3800e+01 1.4000e+00]]","[[16707.2     0. ]
 [    0.     60.8]]",13693,20884,3,76,13997,46,6887,30
36,100.0,55.8,"[[2.564e+03 9.420e+01]
 [1.280e+01 2.400e+00]]","[[10632.8     0. ]
 [    0.     60.8]]",21286,13291,3,76,8907,48,4384,28
38,100.0,53.6,"[[1393.8   79.4]
 [  12.4    2. ]]","[[5892.8    0. ]
 [   0.    57.6]]",27211,7366,7,72,4934,49,2432,23
40,100.0,52.2,"[[695.   29.2]
 [ 12.    1.2]]","[[2896.8    0. ]
 [   0.    52.8]]",30956,3621,13,66,2426,44,1195,22
42,100.0,51.2,"[[520.6  40.6]
 [ 10.8   1.2]]","[[2244.8    0. ]
 [   0.    48. ]]",31771,2806,19,60,1886,34,920,26
44,100.0,60.4,"[[439.   33.6]
 [  8.2   3.2]]","[[1890.4    0. ]
 [   0.    45.6]]",32214,2363,22,57,1579,42,784,15
46,100.0,56.6,"[[377.6  35. ]
 [  8.2   2.2]]","[[1650.4    0. ]
 [   0.    41.6]]",32514,2063,27,52,1378,39,685,13
48,100.0,53.8,"[[318.2  46.4]
 [  7.4   2. ]]","[[1458.4    0. ]
 [   0.    37.6]]",32754,1823,32,47,1216,36,607,11
50,100.0,58.2,"[[316.6   8.2]
 [  5.8   1.4]]","[[1299.2    0. ]
 [   0.    28.8]]",32953,1624,43,36,1087,25,537,11
52,100.0,48.4,"[[250.2  31.8]
 [  6.4   0.6]]","[[1128.    0.]
 [   0.   28.]]",33167,1410,44,35,945,23,465,12
54,100.0,55.6,"[[217.4  28.8]
 [  5.    1.6]]","[[984.8   0. ]
 [  0.   26.4]]",33346,1231,46,33,826,20,405,13
56,100.0,57.2,"[[193.6  24.8]
 [  4.4   1.6]]","[[873.6   0. ]
 [  0.   24. ]]",33485,1092,49,30,736,15,356,15
