Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,80.0,71.6,"[[4.4398e+03 2.4798e+03]
 [2.4000e+00 9.2000e+00]]","[[1.69766e+04 1.07018e+04]
 [2.00000e-01 4.62000e+01]]",0,34598,0,58,23178,41,11420,17
2,80.2,74.0,"[[4.5008e+03 2.4184e+03]
 [1.8000e+00 9.8000e+00]]","[[16989.4 10687.4]
 [    0.     46.4]]",2,34596,0,58,23174,44,11422,14
4,80.2,74.0,"[[4.5008e+03 2.4184e+03]
 [1.8000e+00 9.8000e+00]]","[[16989.4 10687.4]
 [    0.     46.4]]",2,34596,0,58,23182,36,11414,22
6,80.2,74.0,"[[4.5008e+03 2.4184e+03]
 [1.8000e+00 9.8000e+00]]","[[16989.4 10687.4]
 [    0.     46.4]]",2,34596,0,58,23182,36,11414,22
8,80.2,74.0,"[[4.5008e+03 2.4184e+03]
 [1.8000e+00 9.8000e+00]]","[[16989.4 10687.4]
 [    0.     46.4]]",2,34596,0,58,23180,38,11416,20
10,80.2,74.0,"[[4.5008e+03 2.4184e+03]
 [1.8000e+00 9.8000e+00]]","[[16989.4 10687.4]
 [    0.     46.4]]",2,34596,0,58,23179,39,11417,19
12,80.2,74.0,"[[4.5008e+03 2.4184e+03]
 [1.8000e+00 9.8000e+00]]","[[16989.4 10687.4]
 [    0.     46.4]]",2,34596,0,58,23177,41,11419,17
14,80.2,74.0,"[[4.5008e+03 2.4184e+03]
 [1.8000e+00 9.8000e+00]]","[[16989.4 10687.4]
 [    0.     46.4]]",2,34596,0,58,23181,37,11415,21
16,80.0,73.8,"[[4.4602e+03 2.4588e+03]
 [1.8000e+00 9.8000e+00]]","[[16914.4 10761.6]
 [    0.     46.4]]",3,34595,0,58,23176,41,11419,17
18,80.0,73.8,"[[4.4602e+03 2.4588e+03]
 [1.8000e+00 9.8000e+00]]","[[16914.4 10761.6]
 [    0.     46.4]]",3,34595,0,58,23177,40,11418,18
