Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,74.8,50.8,"[[5.064e+03 1.853e+03]
 [1.000e+01 4.200e+00]]","[[2.42714e+04 3.39660e+03]
 [2.12000e+01 3.56000e+01]]",0,34585,0,71,23173,46,11412,25
2,75.6,50.6,"[[5.0816e+03 1.8350e+03]
 [1.0200e+01 4.0000e+00]]","[[2.4210e+04 3.4564e+03]
 [2.0400e+01 3.6400e+01]]",2,34583,0,71,23171,47,11412,24
4,75.6,50.6,"[[5.0816e+03 1.8350e+03]
 [1.0200e+01 4.0000e+00]]","[[2.4210e+04 3.4564e+03]
 [2.0400e+01 3.6400e+01]]",2,34583,0,71,23170,48,11413,23
6,75.6,50.6,"[[5.0816e+03 1.8350e+03]
 [1.0200e+01 4.0000e+00]]","[[2.4210e+04 3.4564e+03]
 [2.0400e+01 3.6400e+01]]",2,34583,0,71,23169,49,11414,22
8,75.6,50.6,"[[5.0816e+03 1.8350e+03]
 [1.0200e+01 4.0000e+00]]","[[2.4210e+04 3.4564e+03]
 [2.0400e+01 3.6400e+01]]",2,34583,0,71,23176,42,11407,29
10,75.6,50.6,"[[5.0816e+03 1.8350e+03]
 [1.0200e+01 4.0000e+00]]","[[2.4210e+04 3.4564e+03]
 [2.0400e+01 3.6400e+01]]",2,34583,0,71,23168,50,11415,21
12,75.6,50.6,"[[5.0816e+03 1.8350e+03]
 [1.0200e+01 4.0000e+00]]","[[2.4210e+04 3.4564e+03]
 [2.0400e+01 3.6400e+01]]",2,34583,0,71,23173,45,11410,26
14,75.6,50.6,"[[5.0816e+03 1.8350e+03]
 [1.0200e+01 4.0000e+00]]","[[2.4210e+04 3.4564e+03]
 [2.0400e+01 3.6400e+01]]",2,34583,0,71,23170,48,11413,23
16,74.8,50.8,"[[5.0648e+03 1.8442e+03]
 [1.0000e+01 4.2000e+00]]","[[2.4245e+04 3.3910e+03]
 [2.1200e+01 3.5600e+01]]",40,34545,0,71,23148,44,11397,27
18,70.8,47.2,"[[3.7994e+03 1.7962e+03]
 [9.0000e+00 3.4000e+00]]","[[1.66526e+04 5.72980e+03]
 [1.58000e+01 3.38000e+01]]",6607,27978,9,62,18749,37,9229,25
20,71.4,47.0,"[[2516.8 1260.8]
 [   8.6    3.4]]","[[11183.4  3927. ]
 [   14.6    33.4]]",15697,18888,11,60,12657,38,6231,22
22,73.2,56.0,"[[1875.8  479.4]
 [   6.2    3.2]]","[[8137.  1283.8]
 [  14.6   23. ]]",22809,11776,24,47,7889,32,3887,15
24,75.0,67.4,"[[606.4 262.2]
 [  2.4   4.2]]","[[2836.6  637.8]
 [   8.    18.4]]",30242,4343,38,33,2910,21,1433,12
26,75.4,54.6,"[[306.4 309.8]
 [  2.4   3.8]]","[[1604.8  860. ]
 [   3.4   21.4]]",31504,3081,40,31,2063,22,1018,9
28,76.4,59.0,"[[243.  237.4]
 [  1.6   3.8]]","[[1165.4  756.2]
 [   1.4   20.2]]",32183,2402,44,27,1609,18,793,9
30,75.2,60.2,"[[186.4 218. ]
 [  1.2   3.4]]","[[8.422e+02 7.754e+02]
 [2.000e-01 1.820e+01]]",32563,2022,48,23,1354,16,668,7
32,78.2,62.4,"[[179.2 168.6]
 [  1.2   3. ]]","[[802.2 589. ]
 [  0.   16.8]]",32846,1739,50,21,1163,16,576,5
34,77.4,59.8,"[[151.8 149.6]
 [  1.2   2.8]]","[[669.  536.6]
 [  0.   16. ]]",33078,1507,51,20,1009,14,498,6
