Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,92.6,71.6,"[[5712.4 1189.4]
 [   6.2    9.8]]","[[2.4137e+04 3.4702e+03]
 [1.0000e+00 6.3000e+01]]",0,34509,0,80,23121,53,11388,27
2,92.6,71.6,"[[5712.  1189.4]
 [   6.2    9.8]]","[[2.41352e+04 3.47040e+03]
 [1.00000e+00 6.30000e+01]]",2,34507,0,80,23111,62,11396,18
4,92.6,71.6,"[[5712.  1189.4]
 [   6.2    9.8]]","[[2.41352e+04 3.47040e+03]
 [1.00000e+00 6.30000e+01]]",2,34507,0,80,23132,41,11375,39
6,92.6,71.6,"[[5712.  1189.4]
 [   6.2    9.8]]","[[2.41352e+04 3.47040e+03]
 [1.00000e+00 6.30000e+01]]",2,34507,0,80,23119,54,11388,26
8,92.6,71.6,"[[5712.  1189.4]
 [   6.2    9.8]]","[[2.41352e+04 3.47040e+03]
 [1.00000e+00 6.30000e+01]]",2,34507,0,80,23119,54,11388,26
10,92.6,71.6,"[[5712.  1189.4]
 [   6.2    9.8]]","[[2.41352e+04 3.47040e+03]
 [1.00000e+00 6.30000e+01]]",2,34507,0,80,23121,52,11386,28
12,92.6,71.6,"[[5712.  1189.4]
 [   6.2    9.8]]","[[2.41352e+04 3.47040e+03]
 [1.00000e+00 6.30000e+01]]",2,34507,0,80,23117,56,11390,24
14,92.6,71.6,"[[5712.  1189.4]
 [   6.2    9.8]]","[[2.41352e+04 3.47040e+03]
 [1.00000e+00 6.30000e+01]]",2,34507,0,80,23116,57,11391,23
16,92.6,71.6,"[[5712.  1189.4]
 [   6.2    9.8]]","[[2.41352e+04 3.47040e+03]
 [1.00000e+00 6.30000e+01]]",2,34507,0,80,23114,59,11393,21
18,92.6,71.6,"[[5712.  1189.2]
 [   6.2    9.8]]","[[2.41344e+04 3.47040e+03]
 [1.00000e+00 6.30000e+01]]",3,34506,0,80,23114,58,11392,22
20,92.6,71.6,"[[5712.  1189.2]
 [   6.2    9.8]]","[[2.41344e+04 3.47040e+03]
 [1.00000e+00 6.30000e+01]]",3,34506,0,80,23119,53,11387,27
22,92.6,71.6,"[[5712.  1189.2]
 [   6.2    9.8]]","[[2.41344e+04 3.47040e+03]
 [1.00000e+00 6.30000e+01]]",3,34506,0,80,23126,46,11380,34
24,92.6,71.6,"[[5708.8 1188.8]
 [   6.2    9.8]]","[[2.41192e+04 3.47120e+03]
 [1.00000e+00 6.30000e+01]]",21,34488,0,80,23107,53,11381,27
26,92.6,71.4,"[[5609.6 1177.8]
 [   6.2    9.8]]","[[2.36868e+04 3.46280e+03]
 [1.00000e+00 6.30000e+01]]",572,33937,0,80,22741,50,11196,30
28,91.8,71.4,"[[5257.  1129.6]
 [   6.2    9.8]]","[[2.2091e+04 3.4554e+03]
 [1.0000e+00 6.3000e+01]]",2576,31933,0,80,21398,50,10535,30
30,92.2,70.0,"[[4618.   874.6]
 [   6.6    8.8]]","[[1.89612e+04 3.00920e+03]
 [6.00000e-01 6.10000e+01]]",7046,27463,3,77,18397,54,9066,23
32,90.4,73.8,"[[3217.2  959.6]
 [   4.4   11. ]]","[[1.40364e+04 2.67080e+03]
 [1.20000e+00 6.04000e+01]]",13625,20884,3,77,13989,54,6895,23
34,90.8,60.2,"[[2041.2  582.6]
 [   7.6    5.8]]","[[8.8794e+03 1.6158e+03]
 [1.2000e+00 5.2400e+01]]",21390,13119,13,67,8786,48,4333,19
36,94.0,70.0,"[[1386.4  273.4]
 [   4.4    6. ]]","[[6.0226e+03 6.1660e+02]
 [8.0000e-01 4.0800e+01]]",26210,8299,28,52,5557,38,2742,14
38,95.2,82.0,"[[814.4 143.6]
 [  1.6   6.4]]","[[3.5402e+03 2.9180e+02]
 [2.0000e-01 3.1800e+01]]",29719,4790,40,40,3207,29,1583,11
40,95.8,87.4,"[[530.2  61.8]
 [  1.    6. ]]","[[2194.6  173.4]
 [   0.    28. ]]",31549,2960,45,35,1987,19,973,16
42,95.8,91.6,"[[4.404e+02 4.680e+01]
 [4.000e-01 6.200e+00]]","[[1803.6  145.2]
 [   0.    26.4]]",32073,2436,47,33,1631,23,805,10
44,95.8,89.4,"[[375.   41.2]
 [  0.6   4.8]]","[[1541.2  123.6]
 [   0.    21.6]]",32428,2081,53,27,1391,21,690,6
46,95.8,92.8,"[[311.8  48.8]
 [  0.    4. ]]","[[1341.   101.4]
 [   0.    16. ]]",32706,1803,60,20,1204,17,599,3
48,95.8,82.6,"[[273.8  33. ]
 [  0.8   2.6]]","[[1133.8   93.4]
 [   0.    13.6]]",32975,1534,63,17,1028,11,506,6
50,95.8,87.2,"[[228.4  30. ]
 [  0.4   2.8]]","[[954.2  79.4]
 [  0.   12.8]]",33217,1292,64,16,867,9,425,7
52,95.2,91.6,"[[189.8  23. ]
 [  0.2   3. ]]","[[777.6  73.6]
 [  0.   12.8]]",33445,1064,64,16,710,13,354,3
54,94.6,90.6,"[[162.6  20.2]
 [  0.2   2.6]]","[[663.2  68. ]
 [  0.   11.2]]",33595,914,66,14,610,11,304,3
56,96.4,95.8,"[[140.2  12.4]
 [  0.    2.4]]","[[571.6  38.8]
 [  0.    9.6]]",33746,763,68,12,514,5,249,7
58,95.8,90.0,"[[114.2  12. ]
 [  0.2   2. ]]","[[465.6  39.2]
 [  0.    8.8]]",33878,631,69,11,425,5,206,6
60,96.2,91.4,"[[101.6   7.6]
 [  0.2   1.4]]","[[409.6  27.2]
 [  0.    6.4]]",33963,546,72,8,364,7,182,1
62,96.6,89.6,"[[84.8  9.8]
 [ 0.2  1.2]]","[[357.4  21. ]
 [  0.    5.6]]",34036,473,73,7,316,5,157,2
64,96.8,84.2,"[[71.   8.8]
 [ 0.4  0.8]]","[[301.8  17.4]
 [  0.    4.8]]",34110,399,74,6,267,4,132,2
66,97.0,84.8,"[[64.   6.8]
 [ 0.4  0.8]]","[[268.2  15. ]
 [  0.    4.8]]",34155,354,74,6,237,4,117,2
68,96.2,94.8,"[[55.4  6. ]
 [ 0.   1.2]]","[[230.8  14.8]
 [  0.    4.8]]",34202,307,74,6,204,5,103,1
70,96.2,95.6,"[[46.6  4.4]
 [ 0.   1.2]]","[[190.4  13.6]
 [  0.    4.8]]",34254,255,74,6,170,4,85,2
72,69.71428571428571,57.6,"[[16.4  0. ]
 [ 0.   0.4]]","[[64.4  2.4]
 [ 0.   0.8]]",34301,208,77,3,140,1,68,2
74,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34336,173,80,0,115,0,58,0
76,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34365,144,80,0,96,0,48,0
78,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34387,122,80,0,81,0,41,0
