Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,63.2,"[[6.4654e+03 4.5420e+02]
 [7.6000e+00 4.0000e+00]]","[[27399.4   279. ]
 [    0.     46.4]]",0,34598,0,58,23179,40,11419,18
2,99.0,59.4,"[[6.5036e+03 4.1560e+02]
 [8.6000e+00 3.0000e+00]]","[[27405.    271.8]
 [    0.     46.4]]",2,34596,0,58,23186,32,11410,26
4,99.0,59.4,"[[6.5036e+03 4.1560e+02]
 [8.6000e+00 3.0000e+00]]","[[27405.    271.8]
 [    0.     46.4]]",2,34596,0,58,23179,39,11417,19
6,99.0,59.4,"[[6.5036e+03 4.1560e+02]
 [8.6000e+00 3.0000e+00]]","[[27405.    271.8]
 [    0.     46.4]]",2,34596,0,58,23179,39,11417,19
8,99.0,59.4,"[[6.5036e+03 4.1560e+02]
 [8.6000e+00 3.0000e+00]]","[[27405.    271.8]
 [    0.     46.4]]",2,34596,0,58,23185,33,11411,25
10,99.0,59.4,"[[6.5036e+03 4.1560e+02]
 [8.6000e+00 3.0000e+00]]","[[27405.    271.8]
 [    0.     46.4]]",2,34596,0,58,23176,42,11420,16
12,99.0,59.4,"[[6.5036e+03 4.1560e+02]
 [8.6000e+00 3.0000e+00]]","[[27405.    271.8]
 [    0.     46.4]]",2,34596,0,58,23177,41,11419,17
14,99.0,59.4,"[[6.5036e+03 4.1560e+02]
 [8.6000e+00 3.0000e+00]]","[[27405.    271.8]
 [    0.     46.4]]",2,34596,0,58,23182,36,11414,22
16,99.0,54.0,"[[6.5124e+03 3.9740e+02]
 [9.8000e+00 1.8000e+00]]","[[27360.    279.2]
 [    0.     46.4]]",49,34549,0,58,23149,37,11400,21
18,99.0,60.4,"[[6.3818e+03 4.4620e+02]
 [8.4000e+00 3.2000e+00]]","[[27029.4   282.6]
 [    0.     46.4]]",458,34140,0,58,22872,40,11268,18
20,99.0,60.6,"[[6.186e+03 4.130e+02]
 [8.400e+00 3.200e+00]]","[[26124.6   271.4]
 [    0.     46.4]]",1603,32995,0,58,22109,36,10886,22
22,99.0,59.2,"[[5.8394e+03 3.8980e+02]
 [8.6000e+00 3.0000e+00]]","[[24664.4   252.4]
 [    0.     46.4]]",3452,31146,0,58,20865,41,10281,17
24,99.0,55.6,"[[5.2024e+03 4.5040e+02]
 [9.2000e+00 2.4000e+00]]","[[22369.8   241.4]
 [    0.     46.4]]",6334,28264,0,58,18934,41,9330,17
26,99.0,56.8,"[[4.439e+03 4.402e+02]
 [8.800e+00 2.800e+00]]","[[19308.    208.8]
 [    0.     46.4]]",10202,24396,0,58,16347,37,8049,21
28,99.0,59.6,"[[3.4774e+03 1.2020e+02]
 [6.4000e+00 2.0000e+00]]","[[14353.2    37.2]
 [    0.     33.6]]",16610,17988,16,42,12054,26,5934,16
30,99.2,59.4,"[[2.2778e+03 1.2400e+02]
 [6.4000e+00 2.0000e+00]]","[[9590.8   16.4]
 [   0.    33.6]]",22589,12009,16,42,8044,30,3965,12
32,99.0,59.4,"[[1361.4   84.4]
 [   5.6    1.8]]","[[5774.4    8.8]
 [   0.    29.6]]",27369,7229,21,37,4842,26,2387,11
34,99.8,54.8,"[[8.334e+02 3.940e+01]
 [4.600e+00 8.000e-01]]","[[3.491e+03 2.000e-01]
 [0.000e+00 2.160e+01]]",30234,4364,31,27,2922,19,1442,8
36,100.0,59.2,"[[642.8  29.4]
 [  4.    1.2]]","[[2688.8    0. ]
 [   0.    20.8]]",31237,3361,32,26,2251,18,1110,8
38,100.0,58.6,"[[537.6  34.4]
 [  3.8   1.2]]","[[2288.    0.]
 [   0.   20.]]",31738,2860,33,25,1919,13,941,12
40,100.0,55.0,"[[474.8  25.8]
 [  4.2   0.8]]","[[2002.4    0. ]
 [   0.    20. ]]",32095,2503,33,25,1673,20,830,5
42,100.0,54.4,"[[404.8  27.6]
 [  4.2   0.8]]","[[1729.6    0. ]
 [   0.    20. ]]",32436,2162,33,25,1447,18,715,7
44,100.0,54.2,"[[355.4  24.8]
 [  4.2   0.8]]","[[1520.8    0. ]
 [   0.    20. ]]",32697,1901,33,25,1274,16,627,9
46,100.0,58.0,"[[309.4  23.2]
 [  3.8   1.2]]","[[1330.4    0. ]
 [   0.    20. ]]",32935,1663,33,25,1113,17,550,8
48,100.0,58.8,"[[266.  19.]
 [  3.   1.]]","[[1140.    0.]
 [   0.   16.]]",33173,1425,38,20,956,12,469,8
50,100.0,66.2,"[[238.8   8.8]
 [  1.8   1. ]]","[[990.4   0. ]
 [  0.   11.2]]",33360,1238,44,14,826,12,412,2
52,100.0,68.2,"[[208.6   5.8]
 [  1.4   1. ]]","[[857.6   0. ]
 [  0.    9.6]]",33526,1072,46,12,720,6,352,6
54,100.0,71.2,"[[170.4  13. ]
 [  1.    1. ]]","[[733.6   0. ]
 [  0.    8. ]]",33681,917,48,10,614,7,303,3
