Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,51.6,"[[6.8556e+03 6.4000e+01]
 [1.1000e+01 6.0000e-01]]","[[27678.4     0. ]
 [    0.     46.4]]",0,34598,0,58,23182,37,11416,21
2,100.0,49.8,"[[6.861e+03 5.820e+01]
 [1.140e+01 2.000e-01]]","[[27676.8     0. ]
 [    0.     46.4]]",2,34596,0,58,23178,40,11418,18
4,100.0,49.8,"[[6.864e+03 5.520e+01]
 [1.140e+01 2.000e-01]]","[[27676.8     0. ]
 [    0.     46.4]]",2,34596,0,58,23179,39,11417,19
6,100.0,50.0,"[[6.8696e+03 4.9600e+01]
 [1.1400e+01 2.0000e-01]]","[[27676.8     0. ]
 [    0.     46.4]]",2,34596,0,58,23179,39,11417,19
8,100.0,49.8,"[[6.8646e+03 5.4600e+01]
 [1.1400e+01 2.0000e-01]]","[[27676.8     0. ]
 [    0.     46.4]]",2,34596,0,58,23170,48,11426,10
10,100.0,49.8,"[[6.866e+03 5.320e+01]
 [1.140e+01 2.000e-01]]","[[27676.8     0. ]
 [    0.     46.4]]",2,34596,0,58,23177,41,11419,17
12,100.0,49.8,"[[6.8612e+03 5.8000e+01]
 [1.1400e+01 2.0000e-01]]","[[27676.8     0. ]
 [    0.     46.4]]",2,34596,0,58,23174,44,11422,14
14,100.0,49.8,"[[6.8536e+03 6.5600e+01]
 [1.1400e+01 2.0000e-01]]","[[27676.8     0. ]
 [    0.     46.4]]",2,34596,0,58,23182,36,11414,22
16,100.0,50.6,"[[6.8506e+03 5.9200e+01]
 [1.1200e+01 4.0000e-01]]","[[27639.2     0. ]
 [    0.     46.4]]",49,34549,0,58,23151,35,11398,23
18,100.0,53.0,"[[6.7262e+03 1.0180e+02]
 [1.0600e+01 1.0000e+00]]","[[27312.      0. ]
 [    0.     46.4]]",458,34140,0,58,22879,33,11261,25
20,100.0,52.2,"[[6.509e+03 9.000e+01]
 [1.080e+01 8.000e-01]]","[[26396.      0. ]
 [    0.     46.4]]",1603,32995,0,58,22103,42,10892,16
22,100.0,50.6,"[[6.1648e+03 6.4400e+01]
 [1.1200e+01 4.0000e-01]]","[[24916.8     0. ]
 [    0.     46.4]]",3452,31146,0,58,20871,35,10275,23
24,100.0,50.6,"[[5.592e+03 6.080e+01]
 [1.120e+01 4.000e-01]]","[[22611.2     0. ]
 [    0.     46.4]]",6334,28264,0,58,18936,39,9328,19
26,100.0,50.8,"[[4.8284e+03 5.0800e+01]
 [1.1200e+01 4.0000e-01]]","[[19516.8     0. ]
 [    0.     46.4]]",10202,24396,0,58,16346,38,8050,20
28,100.0,52.0,"[[3.4624e+03 1.3520e+02]
 [7.6000e+00 8.0000e-01]]","[[14390.4     0. ]
 [    0.     33.6]]",16610,17988,16,42,12053,27,5935,15
30,100.0,52.8,"[[2.3232e+03 7.8600e+01]
 [7.6000e+00 8.0000e-01]]","[[9607.2    0. ]
 [   0.    33.6]]",22589,12009,16,42,8052,22,3957,20
32,100.0,55.4,"[[1.4014e+03 4.4400e+01]
 [6.4000e+00 1.0000e+00]]","[[5783.2    0. ]
 [   0.    29.6]]",27369,7229,21,37,4846,22,2383,15
34,100.0,55.0,"[[8.256e+02 4.720e+01]
 [4.600e+00 8.000e-01]]","[[3491.2    0. ]
 [   0.    21.6]]",30234,4364,31,27,2924,17,1440,10
36,100.0,63.6,"[[630.8  41.4]
 [  3.4   1.8]]","[[2688.8    0. ]
 [   0.    20.8]]",31237,3361,32,26,2256,13,1105,13
38,100.0,65.0,"[[544.6  27.4]
 [  3.2   1.8]]","[[2288.    0.]
 [   0.   20.]]",31738,2860,33,25,1915,17,945,8
40,100.0,70.0,"[[484.4  16.2]
 [  2.8   2.2]]","[[2002.4    0. ]
 [   0.    20. ]]",32095,2503,33,25,1676,17,827,8
42,100.0,64.8,"[[407.8  24.6]
 [  3.2   1.8]]","[[1729.6    0. ]
 [   0.    20. ]]",32436,2162,33,25,1450,15,712,10
44,100.0,67.8,"[[365.8  14.4]
 [  3.    2. ]]","[[1520.8    0. ]
 [   0.    20. ]]",32697,1901,33,25,1271,19,630,6
46,100.0,60.4,"[[311.2  21.4]
 [  3.6   1.4]]","[[1330.4    0. ]
 [   0.    20. ]]",32935,1663,33,25,1114,16,549,9
48,100.0,63.4,"[[263.8  21.2]
 [  2.6   1.4]]","[[1140.    0.]
 [   0.   16.]]",33173,1425,38,20,957,11,468,9
50,100.0,72.8,"[[239.    8.6]
 [  1.4   1.4]]","[[990.4   0. ]
 [  0.   11.2]]",33360,1238,44,14,830,8,408,6
