Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,52.4,"[[6.7952e+03 1.2180e+02]
 [1.3200e+01 1.0000e+00]]","[[27668.      0. ]
 [    0.     56.8]]",0,34585,0,71,23172,47,11413,24
2,100.0,52.2,"[[6.7702e+03 1.4640e+02]
 [1.3200e+01 1.0000e+00]]","[[27666.4     0. ]
 [    0.     56.8]]",2,34583,0,71,23167,51,11416,20
4,100.0,52.2,"[[6.7598e+03 1.5680e+02]
 [1.3200e+01 1.0000e+00]]","[[27666.4     0. ]
 [    0.     56.8]]",2,34583,0,71,23165,53,11418,18
6,100.0,52.2,"[[6.7864e+03 1.3020e+02]
 [1.3200e+01 1.0000e+00]]","[[27666.4     0. ]
 [    0.     56.8]]",2,34583,0,71,23170,48,11413,23
8,100.0,52.4,"[[6.8008e+03 1.1580e+02]
 [1.3200e+01 1.0000e+00]]","[[27666.4     0. ]
 [    0.     56.8]]",2,34583,0,71,23164,54,11419,17
10,100.0,52.2,"[[6.7764e+03 1.4020e+02]
 [1.3200e+01 1.0000e+00]]","[[27666.4     0. ]
 [    0.     56.8]]",2,34583,0,71,23166,52,11417,19
12,100.0,50.8,"[[6.7884e+03 1.2820e+02]
 [1.3600e+01 6.0000e-01]]","[[27666.4     0. ]
 [    0.     56.8]]",2,34583,0,71,23169,49,11414,22
14,100.0,52.2,"[[6.7854e+03 1.3120e+02]
 [1.3200e+01 1.0000e+00]]","[[27666.4     0. ]
 [    0.     56.8]]",2,34583,0,71,23175,43,11408,28
16,100.0,49.6,"[[6.8354e+03 7.4400e+01]
 [1.4000e+01 2.0000e-01]]","[[27639.2     0. ]
 [    0.     56.8]]",36,34549,0,71,23144,51,11405,20
18,100.0,60.6,"[[5.3892e+03 2.0880e+02]
 [1.0000e+01 3.4000e+00]]","[[22392.      0. ]
 [    0.     53.6]]",6595,27990,4,67,18749,49,9241,18
20,100.0,49.4,"[[3.5284e+03 2.8020e+02]
 [1.1200e+01 8.0000e-01]]","[[15234.4     0. ]
 [    0.     48. ]]",15542,19043,11,60,12764,35,6279,25
22,100.0,49.6,"[[2.3274e+03 8.8200e+01]
 [9.2000e+00 4.0000e-01]]","[[9662.4    0. ]
 [   0.    38.4]]",22507,12078,23,48,8093,31,3985,17
24,100.0,52.8,"[[9.374e+02 2.080e+01]
 [6.200e+00 6.000e-01]]","[[3832.8    0. ]
 [   0.    27.2]]",29794,4791,37,34,3211,21,1580,13
26,100.0,50.4,"[[6.244e+02 3.760e+01]
 [5.800e+00 4.000e-01]]","[[2648.     0. ]
 [   0.    24.8]]",31275,3310,40,31,2214,24,1096,7
28,100.0,56.8,"[[475.4  37.4]
 [  4.6   1.2]]","[[2051.2    0. ]
 [   0.    23.2]]",32021,2564,42,29,1718,19,846,10
30,100.0,52.8,"[[4.13e+02 1.68e+01]
 [4.00e+00 4.00e-01]]","[[1719.2    0. ]
 [   0.    17.6]]",32436,2149,49,22,1440,14,709,8
32,100.0,65.4,"[[354.    7.6]
 [  2.8   1.4]]","[[1446.4    0. ]
 [   0.    16.8]]",32777,1808,50,21,1212,13,596,8
34,100.0,53.4,"[[294.6  12. ]
 [  3.4   0.4]]","[[1226.4    0. ]
 [   0.    15.2]]",33052,1533,52,19,1028,11,505,8
36,100.0,67.0,"[[241.8  12.2]
 [  2.4   1.4]]","[[1016.     0. ]
 [   0.    15.2]]",33315,1270,52,19,848,15,422,4
38,100.0,54.4,"[[200.4  12.4]
 [  3.2   0.6]]","[[851.2   0. ]
 [  0.   15.2]]",33521,1064,52,19,711,14,353,5
40,100.0,55.4,"[[165.2   9.4]
 [  3.    0.6]]","[[698.4   0. ]
 [  0.   14.4]]",33712,873,53,18,584,12,289,6
42,100.0,79.2,"[[126.6  11. ]
 [  1.    2. ]]","[[550.4   0. ]
 [  0.   12. ]]",33897,688,56,15,462,9,226,6
44,100.0,77.0,"[[109.    6. ]
 [  1.2   1.4]]","[[460.    0. ]
 [  0.   10.4]]",34010,575,58,13,385,8,190,5
46,100.0,75.0,"[[87.   8.2]
 [ 0.6  1. ]]","[[380.8   0. ]
 [  0.    6.4]]",34109,476,63,8,319,5,157,3
48,100.0,86.8,"[[75.   4.8]
 [ 0.4  0.8]]","[[319.2   0. ]
 [  0.    4.8]]",34186,399,65,6,265,6,134,0
50,100.0,85.2,"[[63.4  6.6]
 [ 0.2  0.8]]","[[280.   0.]
 [  0.   4.]]",34235,350,66,5,234,3,116,2
52,62.5,35.2,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34304,281,69,2,188,1,93,1
54,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34359,226,71,0,151,0,75,0
56,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34409,176,71,0,117,0,59,0
58,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34442,143,71,0,95,0,48,0
60,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34470,115,71,0,77,0,38,0
62,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34480,105,71,0,70,0,35,0
64,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34489,96,71,0,64,0,32,0
66,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34498,87,71,0,58,0,29,0
68,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34507,78,71,0,52,0,26,0
70,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34513,72,71,0,48,0,24,0
