Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,52.6,"[[6.8172e+03 8.4600e+01]
 [1.4800e+01 1.2000e+00]]","[[27607.2     0. ]
 [    0.     64. ]]",0,34509,0,80,23127,47,11382,33
2,100.0,52.4,"[[6.8112e+03 9.0200e+01]
 [1.4800e+01 1.2000e+00]]","[[27605.6     0. ]
 [    0.     64. ]]",2,34507,0,80,23118,55,11389,25
4,100.0,52.4,"[[6.7966e+03 1.0480e+02]
 [1.4800e+01 1.2000e+00]]","[[27605.6     0. ]
 [    0.     64. ]]",2,34507,0,80,23120,53,11387,27
6,100.0,52.4,"[[6.806e+03 9.540e+01]
 [1.480e+01 1.200e+00]]","[[27605.6     0. ]
 [    0.     64. ]]",2,34507,0,80,23123,50,11384,30
8,100.0,52.6,"[[6.8096e+03 9.1800e+01]
 [1.4800e+01 1.2000e+00]]","[[27605.6     0. ]
 [    0.     64. ]]",2,34507,0,80,23120,53,11387,27
10,100.0,52.6,"[[6.8084e+03 9.3000e+01]
 [1.4800e+01 1.2000e+00]]","[[27605.6     0. ]
 [    0.     64. ]]",2,34507,0,80,23117,56,11390,24
12,100.0,52.6,"[[6.8054e+03 9.6000e+01]
 [1.4800e+01 1.2000e+00]]","[[27605.6     0. ]
 [    0.     64. ]]",2,34507,0,80,23111,62,11396,18
14,100.0,52.6,"[[6.8042e+03 9.7200e+01]
 [1.4800e+01 1.2000e+00]]","[[27605.6     0. ]
 [    0.     64. ]]",2,34507,0,80,23121,52,11386,28
16,100.0,52.6,"[[6.8186e+03 8.2800e+01]
 [1.4800e+01 1.2000e+00]]","[[27605.6     0. ]
 [    0.     64. ]]",2,34507,0,80,23123,50,11384,30
18,100.0,52.6,"[[6.8048e+03 9.6400e+01]
 [1.4800e+01 1.2000e+00]]","[[27604.8     0. ]
 [    0.     64. ]]",3,34506,0,80,23114,58,11392,22
20,100.0,53.2,"[[6.7796e+03 9.3000e+01]
 [1.4600e+01 1.4000e+00]]","[[27490.4     0. ]
 [    0.     64. ]]",146,34363,0,80,23016,60,11347,20
22,100.0,55.0,"[[6.4626e+03 9.1600e+01]
 [1.4000e+01 2.0000e+00]]","[[26216.8     0. ]
 [    0.     64. ]]",1738,32771,0,80,21951,59,10820,21
24,100.0,55.0,"[[5.8558e+03 9.6800e+01]
 [1.4000e+01 2.0000e+00]]","[[23810.4     0. ]
 [    0.     64. ]]",4746,29763,0,80,19934,60,9829,20
26,100.0,50.6,"[[4.6326e+03 6.1600e+01]
 [1.4800e+01 6.0000e-01]]","[[18776.8     0. ]
 [    0.     61.6]]",11038,23471,3,77,15720,57,7751,20
28,100.0,52.0,"[[3.0134e+03 5.8400e+01]
 [1.3600e+01 1.0000e+00]]","[[12287.2     0. ]
 [    0.     58.4]]",19150,15359,7,73,10290,49,5069,24
30,100.0,55.2,"[[1792.8   66.6]
 [   9.6    1.8]]","[[7437.6    0. ]
 [   0.    45.6]]",25212,9297,23,57,6230,37,3067,20
32,100.0,52.8,"[[927.8 103.2]
 [  8.4   1.6]]","[[4124.    0.]
 [   0.   40.]]",29354,5155,30,50,3452,35,1703,15
34,100.0,52.8,"[[624.6  46. ]
 [  7.6   1.2]]","[[2682.4    0. ]
 [   0.    35.2]]",31156,3353,36,44,2240,35,1113,9
36,100.0,56.4,"[[509.   46. ]
 [  6.2   1.8]]","[[2220.    0.]
 [   0.   32.]]",31734,2775,40,40,1858,28,917,12
38,100.0,62.0,"[[442.2  24. ]
 [  5.2   2.2]]","[[1864.8    0. ]
 [   0.    29.6]]",32178,2331,43,37,1557,29,774,8
40,100.0,62.8,"[[363.8  33. ]
 [  4.2   2.2]]","[[1587.2    0. ]
 [   0.    25.6]]",32525,1984,48,32,1332,18,652,14
42,100.0,56.4,"[[311.2  23.4]
 [  3.    0.8]]","[[1338.4    0. ]
 [   0.    15.2]]",32836,1673,61,19,1122,11,551,8
44,100.0,63.2,"[[264.6  17.2]
 [  2.    1. ]]","[[1127.2    0. ]
 [   0.    12. ]]",33100,1409,65,15,945,9,464,6
46,100.0,66.4,"[[225.6  15. ]
 [  1.8   1.2]]","[[962.4   0. ]
 [  0.   12. ]]",33306,1203,65,15,808,8,395,7
48,100.0,60.6,"[[190.6  10.8]
 [  2.2   0.6]]","[[805.6   0. ]
 [  0.   11.2]]",33502,1007,66,14,677,7,330,7
50,100.0,61.2,"[[162.2   6.8]
 [  1.8   0.8]]","[[676.    0. ]
 [  0.   10.4]]",33664,845,67,13,565,9,280,4
52,100.0,56.2,"[[131.6  10. ]
 [  1.6   0.4]]","[[566.4   0. ]
 [  0.    8. ]]",33801,708,70,10,474,7,234,3
54,100.0,62.8,"[[112.    4.8]
 [  1.2   0.6]]","[[467.2   0. ]
 [  0.    7.2]]",33925,584,71,9,390,7,194,2
56,100.0,77.2,"[[93.8  5. ]
 [ 0.6  0.6]]","[[395.2   0. ]
 [  0.    4.8]]",34015,494,74,6,332,3,162,3
58,100.0,77.2,"[[80.2  4.6]
 [ 0.4  0.6]]","[[339.2   0. ]
 [  0.    4. ]]",34085,424,75,5,283,4,141,1
60,83.33333333333333,70.0,"[[58.4  0. ]
 [ 0.2  0.6]]","[[234.4   0. ]
 [  0.    2.4]]",34143,366,76,4,246,1,120,3
62,83.33333333333333,59.0,"[[36.   0. ]
 [ 0.4  0.2]]","[[145.2   0. ]
 [  0.    1.8]]",34207,302,76,4,204,1,98,3
64,83.33333333333333,58.8,"[[38.8  1.2]
 [ 0.4  0.4]]","[[160.8   0. ]
 [  0.    2.4]]",34258,251,76,4,166,4,85,0
66,83.33333333333333,69.2,"[[7.6 0. ]
 [0.2 0. ]]","[[31.2  0. ]
 [ 0.   0.6]]",34315,194,76,4,131,1,63,3
68,83.33333333333333,65.4,"[[6.  0. ]
 [0.2 0. ]]","[[24.8  0. ]
 [ 0.   0.6]]",34355,154,76,4,103,2,51,2
70,44.44444444444444,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34372,137,79,1,91,1,46,0
72,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34395,114,80,0,76,0,38,0
74,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34413,96,80,0,64,0,32,0
76,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34425,84,80,0,56,0,28,0
78,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34436,73,80,0,48,0,25,0
