Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,70.8,67.6,"[[2.8542e+03 4.0476e+03]
 [8.0000e-01 1.5200e+01]]","[[1.20586e+04 1.55486e+04]
 [8.00000e-01 6.32000e+01]]",0,34509,0,80,23122,52,11387,28
2,70.8,67.6,"[[2.8540e+03 4.0474e+03]
 [8.0000e-01 1.5200e+01]]","[[1.20566e+04 1.55490e+04]
 [8.00000e-01 6.32000e+01]]",2,34507,0,80,23119,54,11388,26
4,70.8,67.6,"[[2.8540e+03 4.0474e+03]
 [8.0000e-01 1.5200e+01]]","[[1.20566e+04 1.55490e+04]
 [8.00000e-01 6.32000e+01]]",2,34507,0,80,23119,54,11388,26
6,70.8,67.6,"[[2.8540e+03 4.0474e+03]
 [8.0000e-01 1.5200e+01]]","[[1.20566e+04 1.55490e+04]
 [8.00000e-01 6.32000e+01]]",2,34507,0,80,23118,55,11389,25
8,70.8,67.6,"[[2.8540e+03 4.0474e+03]
 [8.0000e-01 1.5200e+01]]","[[1.20566e+04 1.55490e+04]
 [8.00000e-01 6.32000e+01]]",2,34507,0,80,23117,56,11390,24
10,70.8,67.6,"[[2.8540e+03 4.0474e+03]
 [8.0000e-01 1.5200e+01]]","[[1.20566e+04 1.55490e+04]
 [8.00000e-01 6.32000e+01]]",2,34507,0,80,23125,48,11382,32
12,70.8,67.6,"[[2.8540e+03 4.0474e+03]
 [8.0000e-01 1.5200e+01]]","[[1.20566e+04 1.55490e+04]
 [8.00000e-01 6.32000e+01]]",2,34507,0,80,23124,49,11383,31
14,70.8,67.6,"[[2.8540e+03 4.0474e+03]
 [8.0000e-01 1.5200e+01]]","[[1.20566e+04 1.55490e+04]
 [8.00000e-01 6.32000e+01]]",2,34507,0,80,23117,56,11390,24
16,70.8,67.6,"[[2.8540e+03 4.0474e+03]
 [8.0000e-01 1.5200e+01]]","[[1.20566e+04 1.55490e+04]
 [8.00000e-01 6.32000e+01]]",2,34507,0,80,23129,44,11378,36
18,70.6,67.6,"[[2.8540e+03 4.0472e+03]
 [8.0000e-01 1.5200e+01]]","[[1.20558e+04 1.55490e+04]
 [8.00000e-01 6.32000e+01]]",3,34506,0,80,23121,51,11385,29
20,70.6,67.6,"[[2.8286e+03 4.0440e+03]
 [8.0000e-01 1.5200e+01]]","[[1.19502e+04 1.55402e+04]
 [6.00000e-01 6.34000e+01]]",146,34363,0,80,23018,58,11345,22
22,69.6,66.6,"[[2.5448e+03 4.0094e+03]
 [8.0000e-01 1.5200e+01]]","[[1.07844e+04 1.54324e+04]
 [6.00000e-01 6.34000e+01]]",1738,32771,0,80,21949,61,10822,19
24,67.4,62.8,"[[2.0252e+03 3.9274e+03]
 [1.2000e+00 1.4800e+01]]","[[8.66820e+03 1.51422e+04]
 [6.00000e-01 6.34000e+01]]",4746,29763,0,80,19947,47,9816,33
26,65.4,59.2,"[[1.4618e+03 3.2324e+03]
 [1.8000e+00 1.3600e+01]]","[[6.12040e+03 1.26564e+04]
 [4.00000e-01 6.12000e+01]]",11038,23471,3,77,15727,50,7744,27
28,64.2,56.6,"[[ 980.  2091.8]
 [   2.6   12. ]]","[[3.7150e+03 8.5722e+03]
 [4.0000e-01 5.8000e+01]]",19150,15359,7,73,10295,44,5064,29
30,71.8,65.4,"[[ 824.4 1035. ]
 [   1.4   10. ]]","[[3.3488e+03 4.0888e+03]
 [2.0000e-01 4.5400e+01]]",25212,9297,23,57,6229,38,3068,19
32,69.2,61.6,"[[372.2 658.8]
 [  1.2   8.8]]","[[1.644e+03 2.480e+03]
 [2.000e-01 3.980e+01]]",29354,5155,30,50,3451,36,1704,14
34,70.0,57.0,"[[296.8 373.8]
 [  2.6   6.2]]","[[1.2108e+03 1.4716e+03]
 [1.4000e+00 3.3800e+01]]",31156,3353,36,44,2245,30,1108,14
36,72.2,58.4,"[[264.6 290.4]
 [  2.4   5.6]]","[[1115.2 1104.8]
 [   1.6   30.4]]",31734,2775,40,40,1860,26,915,14
38,73.0,55.2,"[[228.2 238. ]
 [  2.8   4.6]]","[[9.220e+02 9.428e+02]
 [6.000e-01 2.900e+01]]",32178,2331,43,37,1562,24,769,13
40,74.2,58.2,"[[200.6 196.2]
 [  2.2   4.2]]","[[8.284e+02 7.588e+02]
 [8.000e-01 2.480e+01]]",32525,1984,48,32,1329,21,655,11
42,81.6,60.6,"[[207.  127.6]
 [  1.6   2.2]]","[[945.2 393.2]
 [  1.   14.2]]",32836,1673,61,19,1120,13,553,6
44,93.6,90.2,"[[2.468e+02 3.500e+01]
 [2.000e-01 2.800e+00]]","[[1.0128e+03 1.1440e+02]
 [2.0000e-01 1.1800e+01]]",33100,1409,65,15,942,12,467,3
46,93.6,90.2,"[[2.104e+02 3.020e+01]
 [2.000e-01 2.800e+00]]","[[8.596e+02 1.028e+02]
 [2.000e-01 1.180e+01]]",33306,1203,65,15,806,10,397,5
48,94.8,82.4,"[[171.4  30. ]
 [  0.6   2.2]]","[[728.8  76.8]
 [  0.   11.2]]",33502,1007,66,14,676,8,331,6
50,93.8,82.8,"[[145.   24. ]
 [  0.4   2.2]]","[[601.   75. ]
 [  0.   10.4]]",33664,845,67,13,565,9,280,4
52,94.6,84.6,"[[126.8  14.8]
 [  0.4   1.6]]","[[509.4  57. ]
 [  0.    8. ]]",33801,708,70,10,475,6,233,4
54,93.8,82.6,"[[99.8 17. ]
 [ 0.4  1.4]]","[[413.6  53.6]
 [  0.    7.2]]",33925,584,71,9,391,6,193,3
56,98.4,78.2,"[[95.8  3. ]
 [ 0.6  0.6]]","[[387.8   7.4]
 [  0.    4.8]]",34015,494,74,6,331,4,163,2
58,98.8,78.4,"[[82.2  2.6]
 [ 0.4  0.6]]","[[333.2   6. ]
 [  0.    4. ]]",34085,424,75,5,282,5,142,0
60,82.83333333333333,60.0,"[[58.4  0. ]
 [ 0.4  0.4]]","[[233.2   1.2]
 [  0.    2.4]]",34143,366,76,4,245,2,121,2
62,82.83333333333333,59.6,"[[36.   0. ]
 [ 0.4  0.2]]","[[144.4   0.8]
 [  0.    1.8]]",34207,302,76,4,204,1,98,3
64,82.66666666666667,60.0,"[[40.   0. ]
 [ 0.4  0.4]]","[[159.6   1.2]
 [  0.    2.4]]",34258,251,76,4,167,3,84,1
