Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",0,34509,0,80,23111,63,11398,17
2,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34507,0,80,23111,62,11396,18
4,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34507,0,80,23120,53,11387,27
6,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34507,0,80,23117,56,11390,24
8,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34507,0,80,23116,57,11391,23
10,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34507,0,80,23123,50,11384,30
12,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34507,0,80,23122,51,11385,29
14,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34507,0,80,23117,56,11390,24
16,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34507,0,80,23124,49,11383,31
18,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",3,34506,0,80,23118,54,11388,26
20,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",146,34363,0,80,23020,56,11343,24
22,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",1738,32771,0,80,21953,57,10818,23
24,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",4746,29763,0,80,19939,55,9824,25
26,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",11038,23471,3,77,15723,54,7748,23
28,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",19150,15359,7,73,10285,54,5074,19
30,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",25212,9297,23,57,6232,35,3065,22
32,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",29354,5155,30,50,3460,27,1695,23
34,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",31156,3353,36,44,2248,27,1105,17
36,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",31734,2775,40,40,1859,27,916,13
38,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32178,2331,43,37,1560,26,771,11
40,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32525,1984,48,32,1330,20,654,12
42,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32836,1673,61,19,1121,12,552,7
44,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33100,1409,65,15,945,9,464,6
46,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33306,1203,65,15,808,8,395,7
48,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33502,1007,66,14,674,10,333,4
50,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33664,845,67,13,564,10,281,3
52,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33801,708,70,10,475,6,233,4
54,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33925,584,71,9,393,4,191,5
56,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34015,494,74,6,330,5,164,1
58,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34085,424,75,5,283,4,141,1
60,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34143,366,76,4,245,2,121,2
62,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34207,302,76,4,202,3,100,1
64,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34258,251,76,4,168,2,83,2
66,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34315,194,76,4,130,2,64,2
68,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34355,154,76,4,103,2,51,2
70,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34372,137,79,1,91,1,46,0
72,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34395,114,80,0,76,0,38,0
74,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34413,96,80,0,64,0,32,0
76,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34425,84,80,0,56,0,28,0
78,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34436,73,80,0,48,0,25,0
