Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,93.4,87.6,"[[6.1444e+03 7.7100e+02]
 [2.0000e+00 1.3800e+01]]","[[2.50632e+04 2.59840e+03]
 [1.40000e+00 6.18000e+01]]",0,34577,0,79,23168,51,11409,28
2,93.4,87.8,"[[6.1462e+03 7.6880e+02]
 [2.0000e+00 1.3800e+01]]","[[2.5062e+04 2.5980e+03]
 [1.4000e+00 6.1800e+01]]",2,34575,0,79,23162,56,11413,23
4,93.4,87.8,"[[6.1462e+03 7.6880e+02]
 [2.0000e+00 1.3800e+01]]","[[2.5062e+04 2.5980e+03]
 [1.4000e+00 6.1800e+01]]",2,34575,0,79,23157,61,11418,18
6,93.4,87.8,"[[6.1462e+03 7.6880e+02]
 [2.0000e+00 1.3800e+01]]","[[2.5062e+04 2.5980e+03]
 [1.4000e+00 6.1800e+01]]",2,34575,0,79,23163,55,11412,24
8,93.4,87.8,"[[6.1462e+03 7.6880e+02]
 [2.0000e+00 1.3800e+01]]","[[2.5062e+04 2.5980e+03]
 [1.4000e+00 6.1800e+01]]",2,34575,0,79,23169,49,11406,30
10,93.4,87.8,"[[6.1462e+03 7.6880e+02]
 [2.0000e+00 1.3800e+01]]","[[2.5062e+04 2.5980e+03]
 [1.4000e+00 6.1800e+01]]",2,34575,0,79,23172,46,11403,33
12,93.4,87.8,"[[6.1462e+03 7.6880e+02]
 [2.0000e+00 1.3800e+01]]","[[2.5062e+04 2.5980e+03]
 [1.4000e+00 6.1800e+01]]",2,34575,0,79,23156,62,11419,17
14,93.4,87.8,"[[6.1462e+03 7.6880e+02]
 [2.0000e+00 1.3800e+01]]","[[2.5062e+04 2.5980e+03]
 [1.4000e+00 6.1800e+01]]",2,34575,0,79,23170,48,11405,31
16,93.4,87.8,"[[6.1462e+03 7.6880e+02]
 [2.0000e+00 1.3800e+01]]","[[2.5062e+04 2.5980e+03]
 [1.4000e+00 6.1800e+01]]",2,34575,0,79,23162,56,11413,23
18,93.4,87.8,"[[6.1342e+03 7.6860e+02]
 [2.0000e+00 1.3800e+01]]","[[2.50176e+04 2.59360e+03]
 [1.40000e+00 6.18000e+01]]",63,34514,0,79,23121,56,11393,23
20,93.4,87.4,"[[6.0034e+03 7.6440e+02]
 [2.0000e+00 1.3800e+01]]","[[2.44854e+04 2.58580e+03]
 [1.40000e+00 6.18000e+01]]",738,33839,0,79,22677,48,11162,31
22,93.2,87.4,"[[5.681e+03 7.514e+02]
 [2.000e+00 1.380e+01]]","[[2.3184e+04 2.5456e+03]
 [1.6000e+00 6.1600e+01]]",2415,32162,0,79,21546,55,10616,24
24,93.0,85.8,"[[5.1536e+03 7.1160e+02]
 [2.4000e+00 1.3400e+01]]","[[2.10446e+04 2.41620e+03]
 [1.80000e+00 6.14000e+01]]",5251,29326,0,79,19651,50,9675,29
26,92.0,82.6,"[[4.0312e+03 6.7080e+02]
 [3.0000e+00 1.2800e+01]]","[[1.6608e+04 2.2000e+03]
 [2.0000e+00 6.1200e+01]]",11067,23510,0,79,15746,58,7764,21
28,90.4,68.0,"[[2623.8  567.6]
 [   6.8    8.4]]","[[1.11432e+04 1.62240e+03]
 [3.20000e+00 5.76000e+01]]",18620,15957,3,76,10697,45,5260,31
30,89.8,68.6,"[[1547.6  439. ]
 [   5.8    8.8]]","[[6.7980e+03 1.1484e+03]
 [3.2000e+00 5.5200e+01]]",24644,9933,6,73,6647,57,3286,16
32,85.6,63.2,"[[705.8 368.8]
 [  5.4   9. ]]","[[3436.   862.4]
 [   4.4   53.2]]",29204,5373,7,72,3601,47,1772,25
34,83.2,57.2,"[[494.8 211. ]
 [  6.8   5.6]]","[[2158.2  665. ]
 [   4.4   45.2]]",31048,3529,17,62,2361,44,1168,18
36,82.8,60.4,"[[402.6 183.2]
 [  5.6   6.4]]","[[1750.   593.2]
 [   4.    44. ]]",31648,2929,19,60,1958,44,971,16
38,82.2,63.0,"[[330.  163.4]
 [  4.4   6.8]]","[[1405.   568.6]
 [   2.6   42.2]]",32110,2467,23,56,1651,39,816,17
40,81.6,60.6,"[[277.  144.2]
 [  4.2   5.6]]","[[1201.2  483.6]
 [   2.8   36.4]]",32471,2106,30,49,1415,28,691,21
42,82.0,56.2,"[[208.6 151.4]
 [  3.6   4.4]]","[[1067.  373.]
 [   3.   29.]]",32777,1800,39,40,1206,26,594,14
44,81.8,48.6,"[[161.  146.8]
 [  4.    3.2]]","[[889.  342.2]
 [  2.2  26.6]]",33038,1539,43,36,1027,28,512,8
46,84.0,54.0,"[[163.2 107. ]
 [  3.2   3.2]]","[[828.2 252.6]
 [  2.   23.6]]",33226,1351,47,32,903,23,448,9
48,82.0,48.8,"[[129.4 100.4]
 [  3.4   2.4]]","[[689.2 230. ]
 [  2.4  20.8]]",33428,1149,50,29,768,21,381,8
50,81.6,49.6,"[[104.2  89.6]
 [  3.    2.4]]","[[550.8 224.4]
 [  1.4  20.2]]",33608,969,52,27,649,18,320,9
52,81.8,49.2,"[[81.8 77.8]
 [ 2.8  2.4]]","[[454.2 184.2]
 [  1.4  19.4]]",33779,798,53,26,536,16,262,10
54,82.8,55.8,"[[77.4 57.2]
 [ 1.6  1.8]]","[[444.4  94. ]
 [  2.2  11.4]]",33904,673,62,17,451,11,222,6
56,87.0,79.4,"[[85.  31. ]
 [ 0.4  2.4]]","[[379.2  84.8]
 [  0.8  10.4]]",33997,580,65,14,390,7,190,7
58,88.8,74.8,"[[74.6 22.4]
 [ 0.8  2. ]]","[[338.4  49.6]
 [  1.   10.2]]",34092,485,65,14,327,7,158,7
60,89.0,79.4,"[[56.2 24. ]
 [ 0.2  2. ]]","[[283.4  37.4]
 [  0.8   8. ]]",34176,401,68,11,268,8,133,3
