Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",0,34592,0,64,23177,42,11415,22
2,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34590,0,64,23172,46,11418,18
4,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34590,0,64,23172,46,11418,18
6,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34590,0,64,23177,41,11413,23
8,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34590,0,64,23178,40,11412,24
10,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34590,0,64,23172,46,11418,18
12,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34590,0,64,23169,49,11421,15
14,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34590,0,64,23180,38,11410,26
16,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34590,0,64,23173,45,11417,19
18,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",3,34589,0,64,23175,42,11414,22
20,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",63,34529,0,64,23133,44,11396,20
22,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",1502,33090,0,64,22171,42,10919,22
24,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",5444,29148,0,64,19527,45,9621,19
26,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",14114,20478,2,62,13718,43,6760,19
28,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",21980,12612,2,62,8454,37,4158,25
30,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",27522,7070,16,48,4740,29,2330,19
32,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",30552,4040,24,40,2710,23,1330,17
34,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",31384,3208,30,34,2151,21,1057,13
36,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",31881,2711,32,32,1817,20,894,12
38,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32274,2318,37,27,1551,20,767,7
40,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32638,1954,37,27,1311,16,643,11
42,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32933,1659,50,14,1111,9,548,5
44,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33154,1438,52,12,962,9,476,3
46,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33363,1229,52,12,823,8,406,4
48,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33579,1013,52,12,675,11,338,1
50,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33718,874,52,12,587,6,287,6
52,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33840,752,52,12,501,10,251,2
54,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33951,641,52,12,430,7,211,5
56,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34047,545,53,11,365,7,180,4
58,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34160,432,55,9,289,6,143,3
60,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34229,363,56,8,244,4,119,4
62,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34300,292,57,7,195,5,97,2
64,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34350,242,58,6,163,3,79,3
66,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34391,201,59,5,135,3,66,2
68,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34425,167,61,3,111,2,56,1
70,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34454,138,62,2,92,1,46,1
72,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34489,103,62,2,68,2,35,0
74,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34501,91,63,1,61,0,30,1
76,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34512,80,63,1,53,1,27,0
78,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34520,72,64,0,48,0,24,0
