Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,92.4,62.2,"[[5.7584e+03 1.1612e+03]
 [6.6000e+00 5.0000e+00]]","[[2.44254e+04 3.25300e+03]
 [1.20000e+00 4.52000e+01]]",0,34598,0,58,23183,36,11415,22
2,92.4,62.6,"[[5.7018e+03 1.1840e+03]
 [6.6000e+00 5.0000e+00]]","[[2.42774e+04 3.26580e+03]
 [1.20000e+00 4.52000e+01]]",169,34429,0,58,23070,36,11359,22
4,92.4,60.8,"[[5.5692e+03 1.1848e+03]
 [7.0000e+00 4.6000e+00]]","[[2.379e+04 3.226e+03]
 [1.200e+00 4.520e+01]]",828,33770,0,58,22625,39,11145,19
6,91.8,61.8,"[[5.4000e+03 1.1476e+03]
 [6.6000e+00 5.0000e+00]]","[[2.30126e+04 3.17780e+03]
 [1.40000e+00 4.50000e+01]]",1860,32738,0,58,21936,37,10802,21
8,91.4,61.6,"[[5.0378e+03 1.1700e+03]
 [6.6000e+00 5.0000e+00]]","[[2.17132e+04 3.11800e+03]
 [1.60000e+00 4.48000e+01]]",3559,31039,0,58,20800,34,10239,24
10,90.8,61.0,"[[4599.6 1117. ]
 [   6.6    5. ]]","[[1.98546e+04 3.01180e+03]
 [1.80000e+00 4.46000e+01]]",6015,28583,0,58,19155,34,9428,24
12,90.6,60.4,"[[4057.8 1047.8]
 [   6.6    5. ]]","[[1.76492e+04 2.77320e+03]
 [2.00000e+00 4.44000e+01]]",9070,25528,0,58,17103,39,8425,19
14,90.4,49.8,"[[3.1978e+03 9.1820e+02]
 [7.6000e+00 2.2000e+00]]","[[1.44588e+04 2.00520e+03]
 [2.40000e+00 3.68000e+01]]",14018,20580,9,49,13791,30,6789,19
16,94.4,65.2,"[[2537.6  482. ]
 [   4.4    4. ]]","[[1.09754e+04 1.10300e+03]
 [4.00000e-01 3.32000e+01]]",19500,15098,16,42,10115,28,4983,14
18,94.6,60.4,"[[1776.8  328. ]
 [   5.4    3. ]]","[[7.6072e+03 8.1200e+02]
 [2.0000e-01 3.3400e+01]]",24074,10524,16,42,7058,21,3466,21
20,93.0,60.6,"[[1094.6  244. ]
 [   4.6    3. ]]","[[4.7644e+03 5.9000e+02]
 [6.0000e-01 2.9800e+01]]",27905,6693,20,38,4480,29,2213,9
22,91.8,69.2,"[[678.4 210.2]
 [  2.2   4. ]]","[[3.1046e+03 4.4980e+02]
 [6.0000e-01 2.4200e+01]]",30155,4443,27,31,2978,19,1465,12
24,92.2,76.4,"[[534.2 171. ]
 [  1.2   4.2]]","[[2.4776e+03 3.4320e+02]
 [6.0000e-01 2.1000e+01]]",31072,3526,31,27,2366,14,1160,13
26,92.6,76.8,"[[457.2 157.6]
 [  1.    4.2]]","[[2.1744e+03 2.8480e+02]
 [4.0000e-01 2.0400e+01]]",31524,3074,32,26,2057,20,1017,6
28,92.6,75.8,"[[383.8 146.8]
 [  1.    4.2]]","[[1.8716e+03 2.5080e+02]
 [4.0000e-01 2.0400e+01]]",31945,2653,32,26,1779,15,874,11
30,94.6,79.4,"[[349.2 114.4]
 [  0.8   4.2]]","[[1661.   193.4]
 [   0.    20. ]]",32280,2318,33,25,1552,17,766,8
32,94.2,78.8,"[[304.  105.2]
 [  0.8   4.2]]","[[1465.2  171.6]
 [   0.    20. ]]",32552,2046,33,25,1369,18,677,7
34,94.6,78.6,"[[272.4  95.4]
 [  0.8   4.2]]","[[1318.6  152.6]
 [   0.    20. ]]",32759,1839,33,25,1235,13,604,12
36,93.2,78.8,"[[240.8  81.8]
 [  0.8   4.2]]","[[1.1538e+03 1.3660e+02]
 [4.0000e-01 1.9600e+01]]",32985,1613,33,25,1080,17,533,8
38,92.8,81.8,"[[221.   62.2]
 [  0.6   4.2]]","[[1.0364e+03 9.6400e+01]
 [1.0000e+00 1.8200e+01]]",33182,1416,34,24,945,19,471,5
40,94.4,84.2,"[[197.8  50.8]
 [  0.4   3.6]]","[[9.064e+02 8.800e+01]
 [2.000e-01 1.580e+01]]",33355,1243,38,20,830,16,413,4
42,95.2,77.2,"[[172.8  37. ]
 [  0.8   1.6]]","[[768.6  70.6]
 [  0.    9.6]]",33549,1049,46,12,700,10,349,2
44,94.8,79.2,"[[150.6  31.4]
 [  0.6   1.6]]","[[660.2  67.8]
 [  0.    8.8]]",33688,910,47,11,611,6,299,5
46,94.6,82.0,"[[133.8  23.4]
 [  0.2   1.4]]","[[565.   63.8]
 [  0.    6.4]]",33812,786,50,8,526,5,260,3
48,98.0,84.2,"[[119.2  14.8]
 [  0.2   0.8]]","[[517.2  18.8]
 [  0.    4. ]]",33928,670,53,5,448,4,222,1
50,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34012,586,58,0,392,0,194,0
52,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34082,516,58,0,345,0,171,0
