Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",0,34585,0,71,23172,47,11413,24
2,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34583,0,71,23168,50,11415,21
4,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34583,0,71,23168,50,11415,21
6,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34583,0,71,23167,51,11416,20
8,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34583,0,71,23177,41,11406,30
10,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34583,0,71,23167,51,11416,20
12,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34583,0,71,23173,45,11410,26
14,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34583,0,71,23173,45,11410,26
16,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2,34583,0,71,23171,47,11412,24
18,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",563,34022,0,71,22794,48,11228,23
20,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",12957,21628,6,65,14494,40,7134,25
22,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",19368,15217,11,60,10197,38,5020,22
24,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",27621,6964,34,37,4664,26,2300,11
26,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",30608,3977,39,32,2666,20,1311,12
28,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",31632,2953,40,31,1977,22,976,9
30,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32152,2433,46,25,1627,19,806,6
32,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32568,2017,49,22,1351,15,666,7
34,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32964,1621,51,20,1085,14,536,6
36,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33246,1339,52,19,896,13,443,6
38,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33508,1077,53,18,722,11,355,7
40,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33727,858,53,18,575,11,283,7
42,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33936,649,58,13,433,10,216,3
44,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34051,534,63,8,356,7,178,1
46,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34134,451,64,7,302,4,149,3
48,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34211,374,67,4,252,1,122,3
50,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34279,306,71,0,205,0,101,0
52,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34345,240,71,0,160,0,80,0
54,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34408,177,71,0,118,0,59,0
56,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34452,133,71,0,89,0,44,0
58,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34476,109,71,0,73,0,36,0
60,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34489,96,71,0,64,0,32,0
62,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34497,88,71,0,58,0,30,0
64,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34505,80,71,0,53,0,27,0
66,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34510,75,71,0,50,0,25,0
68,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34512,73,71,0,48,0,25,0
70,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34517,68,71,0,45,0,23,0
72,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34518,67,71,0,44,0,23,0
74,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34518,67,71,0,44,0,23,0
76,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34520,65,71,0,43,0,22,0
78,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34521,64,71,0,42,0,22,0
