Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,61.8,"[[6.6176e+03 2.9780e+02]
 [1.1200e+01 4.6000e+00]]","[[27267.2   394.4]
 [    0.     63.2]]",0,34577,0,79,23169,50,11408,29
2,99.0,64.2,"[[6.595e+03 2.876e+02]
 [1.060e+01 5.200e+00]]","[[27140.    390.4]
 [    0.     63.2]]",164,34413,0,79,23053,56,11360,23
4,98.8,62.0,"[[6.4134e+03 2.7040e+02]
 [1.1200e+01 4.6000e+00]]","[[26336.6   398.6]
 [    0.     63.2]]",1158,33419,0,79,22390,53,11029,26
6,98.8,65.2,"[[5.991e+03 2.896e+02]
 [1.020e+01 5.600e+00]]","[[24741.    381.4]
 [    0.     63.2]]",3174,31403,0,79,21035,57,10368,22
8,98.8,63.0,"[[5.3762e+03 2.9040e+02]
 [1.0800e+01 5.0000e+00]]","[[22301.4   365. ]
 [    0.     63.2]]",6244,28333,0,79,18985,51,9348,28
10,98.6,59.2,"[[4084.8  299. ]
 [  11.6    4.2]]","[[17242.2   293. ]
 [    0.     63.2]]",12658,21919,0,79,14688,50,7231,29
12,99.0,59.6,"[[2852.4  250.4]
 [  11.     4.2]]","[[12214.6   196.6]
 [    0.     60.8]]",19063,15514,3,76,10391,54,5123,22
14,98.8,59.2,"[[1814.6  269.4]
 [  10.4    4.8]]","[[8187.4  148.6]
 [   0.    60.8]]",24157,10420,3,76,6979,53,3441,23
16,98.4,55.6,"[[1050.8  219. ]
 [  10.6    4.2]]","[[4968.4  110.8]
 [   0.    59.2]]",28228,6349,5,74,4252,51,2097,23
18,98.4,51.2,"[[721.4 125.4]
 [ 11.    2.4]]","[[3309.8   77.4]
 [   0.    53.6]]",30343,4234,12,67,2841,40,1393,27
20,98.0,51.6,"[[575.2 100.8]
 [ 10.2   2.4]]","[[2625.4   78.6]
 [   0.    50.4]]",31197,3380,16,63,2254,52,1126,11
22,98.0,48.6,"[[463.4 107.6]
 [ 10.2   2. ]]","[[2213.6   70.4]
 [   0.    48.8]]",31722,2855,18,61,1922,31,933,30
24,98.0,52.4,"[[414.8  69. ]
 [  7.8   1.8]]","[[1884.    51.2]
 [   0.    38.4]]",32158,2419,31,48,1614,38,805,10
26,98.4,50.6,"[[355.   54. ]
 [  6.8   1.2]]","[[1602.6   33.4]
 [   0.    32. ]]",32532,2045,39,40,1369,27,676,13
28,99.0,49.0,"[[291.2  60.8]
 [  5.4   1. ]]","[[1391.2   16.8]
 [   0.    25.6]]",32817,1760,47,32,1176,24,584,8
30,99.0,51.0,"[[241.2  61.8]
 [  4.2   1.2]]","[[1202.2    9.8]
 [   0.    21.6]]",33062,1515,52,27,1020,13,495,14
32,99.2,52.8,"[[210.4  51.2]
 [  3.4   1.2]]","[[1036.2   10.2]
 [   0.    18.4]]",33269,1308,56,23,876,15,432,8
34,99.4,52.6,"[[180.8  43.8]
 [  3.4   1. ]]","[[895.2   3.2]
 [  0.   17.6]]",33454,1123,57,22,753,14,370,8
36,99.8,45.2,"[[151.2  35.6]
 [  3.8   0.4]]","[[7.468e+02 4.000e-01]
 [0.000e+00 1.680e+01]]",33643,934,58,21,620,19,314,2
