Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,72.6,64.2,"[[3.5438e+03 3.3716e+03]
 [3.4000e+00 1.2400e+01]]","[[1.40432e+04 1.36184e+04]
 [2.60000e+00 6.06000e+01]]",0,34577,0,79,23167,52,11410,27
2,72.8,63.4,"[[3463.8 3418.8]
 [   3.6   12.2]]","[[1.39208e+04 1.36096e+04]
 [2.40000e+00 6.08000e+01]]",164,34413,0,79,23058,51,11355,28
4,72.6,63.0,"[[3298.2 3385.6]
 [   3.6   12.2]]","[[1.33050e+04 1.34302e+04]
 [2.40000e+00 6.08000e+01]]",1158,33419,0,79,22388,55,11031,24
6,71.6,62.0,"[[2962.  3318.6]
 [   3.6   12.2]]","[[1.21348e+04 1.29876e+04]
 [2.60000e+00 6.06000e+01]]",3174,31403,0,79,21041,51,10362,28
8,70.8,57.6,"[[2538.8 3127.8]
 [   4.6   11.2]]","[[1.06178e+04 1.20486e+04]
 [2.60000e+00 6.06000e+01]]",6244,28333,0,79,18989,47,9344,32
10,71.0,55.4,"[[2016.8 2367. ]
 [   5.4   10.4]]","[[8.3152e+03 9.2200e+03]
 [2.6000e+00 6.0600e+01]]",12658,21919,0,79,14690,48,7229,31
12,77.6,59.2,"[[1694.2 1408.6]
 [   5.4    9.8]]","[[7.2612e+03 5.1500e+03]
 [1.6000e+00 5.9200e+01]]",19063,15514,3,76,10390,55,5124,21
14,77.4,58.0,"[[1112.4  971.6]
 [   5.6    9.6]]","[[4.9494e+03 3.3866e+03]
 [2.0000e+00 5.8800e+01]]",24157,10420,3,76,6982,50,3438,26
16,72.2,56.6,"[[605.6 664.2]
 [  5.    9.8]]","[[2.5038e+03 2.5754e+03]
 [2.4000e+00 5.6800e+01]]",28228,6349,5,74,4261,42,2088,32
18,68.6,55.0,"[[449.8 397. ]
 [  5.8   7.6]]","[[1529.6 1857.6]
 [   3.6   50. ]]",30343,4234,12,67,2832,49,1402,18
20,63.8,53.8,"[[340.8 335.2]
 [  5.4   7.2]]","[[ 977.2 1726.8]
 [   4.    46.4]]",31197,3380,16,63,2267,39,1113,24
22,61.2,51.8,"[[265.2 305.8]
 [  5.2   7. ]]","[[ 737.  1547. ]
 [   4.4   44.4]]",31722,2855,18,61,1918,35,937,26
24,71.8,58.0,"[[309.8 174. ]
 [  4.6   5. ]]","[[1330.   605.2]
 [   9.2   29.2]]",32158,2419,31,48,1617,35,802,13
26,72.2,58.6,"[[276.6 132.4]
 [  4.    4. ]]","[[1075.6  560.4]
 [   6.6   25.4]]",32532,2045,39,40,1360,36,685,4
28,76.0,62.4,"[[249.  103. ]
 [  3.    3.4]]","[[963.4 444.6]
 [  3.8  21.8]]",32817,1760,47,32,1179,21,581,11
30,76.2,60.8,"[[217.6  85.4]
 [  2.8   2.6]]","[[815.8 396.2]
 [  3.   18.6]]",33062,1515,52,27,1013,20,502,7
32,80.4,61.0,"[[169.2  92.4]
 [  2.    2.6]]","[[754.6 291.8]
 [  1.8  16.6]]",33269,1308,56,23,877,14,431,9
34,81.0,58.4,"[[138.2  86.4]
 [  2.    2.4]]","[[647.4 251. ]
 [  1.6  16. ]]",33454,1123,57,22,753,14,370,8
36,81.6,74.0,"[[117.2  69.6]
 [  0.6   3.6]]","[[478.2 269. ]
 [  0.   16.8]]",33643,934,58,21,627,12,307,9
38,79.0,70.8,"[[88.2 66. ]
 [ 0.6  3.6]]","[[362.  254.8]
 [  0.   16.8]]",33806,771,58,21,517,13,254,8
