Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",0,34577,0,79,23171,48,11406,31
2,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",164,34413,0,79,23051,58,11362,21
4,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",1158,33419,0,79,22392,51,11027,28
6,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",3174,31403,0,79,21038,54,10365,25
8,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",6244,28333,0,79,18982,54,9351,25
10,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",12658,21919,0,79,14684,54,7235,25
12,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",19063,15514,3,76,10396,49,5118,27
14,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",24157,10420,3,76,6974,58,3446,18
16,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",28228,6349,5,74,4255,48,2094,26
18,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",30343,4234,12,67,2837,44,1397,23
20,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",31197,3380,16,63,2269,37,1111,26
22,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",31722,2855,18,61,1914,39,941,22
24,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32158,2419,31,48,1621,31,798,17
26,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32532,2045,39,40,1375,21,670,19
28,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32817,1760,47,32,1177,23,583,9
30,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33062,1515,52,27,1012,21,503,6
32,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33269,1308,56,23,876,15,432,8
34,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33454,1123,57,22,754,13,369,9
36,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33643,934,58,21,626,13,308,8
38,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33806,771,58,21,514,16,257,5
40,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33906,671,58,21,451,12,220,9
42,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33999,578,63,16,388,9,190,7
44,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34081,496,63,16,332,11,164,5
46,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34174,403,73,6,271,3,132,3
48,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34243,334,73,6,221,6,113,0
50,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34292,285,75,4,190,3,95,1
52,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34342,235,76,3,158,1,77,2
54,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34385,192,79,0,128,0,64,0
56,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34444,133,79,0,89,0,44,0
58,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34484,93,79,0,62,0,31,0
60,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34507,70,79,0,46,0,24,0
62,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34514,63,79,0,42,0,21,0
64,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34516,61,79,0,40,0,21,0
66,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34516,61,79,0,40,0,21,0
68,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34516,61,79,0,40,0,21,0
70,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34516,61,79,0,40,0,21,0
72,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34516,61,79,0,40,0,21,0
74,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34516,61,79,0,40,0,21,0
76,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34516,61,79,0,40,0,21,0
78,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34516,61,79,0,40,0,21,0
