Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,60.8,"[[6.7044e+03 2.1400e+02]
 [9.6000e+00 3.2000e+00]]","[[27417.2   256.4]
 [    0.     51.2]]",0,34592,0,64,23173,46,11419,18
2,99.0,64.2,"[[6.679e+03 2.392e+02]
 [8.600e+00 4.200e+00]]","[[27409.6   263.2]
 [    0.     51.2]]",1,34591,0,64,23177,41,11414,23
4,99.0,64.2,"[[6.679e+03 2.392e+02]
 [8.600e+00 4.200e+00]]","[[27409.6   263.2]
 [    0.     51.2]]",1,34591,0,64,23184,34,11407,30
6,99.0,64.2,"[[6.679e+03 2.392e+02]
 [8.600e+00 4.200e+00]]","[[27409.6   263.2]
 [    0.     51.2]]",1,34591,0,64,23177,41,11414,23
8,99.0,64.2,"[[6.679e+03 2.392e+02]
 [8.600e+00 4.200e+00]]","[[27409.6   263.2]
 [    0.     51.2]]",1,34591,0,64,23175,43,11416,21
10,99.0,64.2,"[[6.679e+03 2.392e+02]
 [8.600e+00 4.200e+00]]","[[27409.6   263.2]
 [    0.     51.2]]",1,34591,0,64,23173,45,11418,19
12,99.0,64.2,"[[6.679e+03 2.392e+02]
 [8.600e+00 4.200e+00]]","[[27409.6   263.2]
 [    0.     51.2]]",1,34591,0,64,23176,42,11415,22
14,99.0,64.2,"[[6.679e+03 2.392e+02]
 [8.600e+00 4.200e+00]]","[[27409.6   263.2]
 [    0.     51.2]]",1,34591,0,64,23171,47,11420,17
16,99.0,61.2,"[[6.7132e+03 2.0480e+02]
 [9.4000e+00 3.4000e+00]]","[[27417.2   254.8]
 [    0.     51.2]]",2,34590,0,64,23179,39,11411,25
18,99.0,60.8,"[[6.6994e+03 2.1400e+02]
 [9.6000e+00 3.2000e+00]]","[[27397.6   256. ]
 [    0.     51.2]]",25,34567,0,64,23162,40,11405,24
20,99.0,63.2,"[[6.5124e+03 2.3120e+02]
 [8.8000e+00 4.0000e+00]]","[[26724.4   250. ]
 [    0.     51.2]]",874,33718,0,64,22589,44,11129,20
22,99.0,63.8,"[[5.910e+03 2.444e+02]
 [8.600e+00 4.200e+00]]","[[24364.4   253.2]
 [    0.     51.2]]",3820,30772,0,64,20621,39,10151,25
24,99.0,56.6,"[[4.551e+03 2.384e+02]
 [1.000e+01 2.400e+00]]","[[19003.    154.6]
 [    0.     49.6]]",10645,23947,2,62,16044,42,7903,20
26,99.0,53.8,"[[2.9692e+03 1.2240e+02]
 [1.0800e+01 1.6000e+00]]","[[12230.    136.4]
 [    0.     49.6]]",19134,15458,2,62,10357,41,5101,21
28,99.0,45.8,"[[1.6278e+03 1.9180e+02]
 [1.1600e+01 4.0000e-01]]","[[7208.2   70.2]
 [   0.    48. ]]",25494,9098,4,60,6095,40,3003,20
30,99.0,60.4,"[[946.   67.2]
 [  7.    2.8]]","[[4024.4   28.4]
 [   0.    39.2]]",29526,5066,15,49,3396,31,1670,18
32,99.0,68.6,"[[663.8  61.4]
 [  3.8   3.4]]","[[2883.6   17.2]
 [   0.    28.8]]",30966,3626,28,36,2433,20,1193,16
34,99.0,70.6,"[[536.8  52.4]
 [  3.    3.2]]","[[2350.2    6.6]
 [   0.    24.8]]",31646,2946,33,31,1973,21,973,10
36,99.8,64.0,"[[438.2  51. ]
 [  3.4   2. ]]","[[1.9554e+03 1.4000e+00]
 [0.0000e+00 2.1600e+01]]",32146,2446,37,27,1640,16,806,11
38,100.0,56.4,"[[333.6  65.2]
 [  3.    1.4]]","[[1595.2    0. ]
 [   0.    17.6]]",32598,1994,42,22,1334,16,660,6
40,100.0,65.4,"[[322.6  12.8]
 [  2.4   1.4]]","[[1341.6    0. ]
 [   0.    15.2]]",32915,1677,45,19,1123,13,554,6
42,100.0,57.8,"[[270.8  11.4]
 [  2.4   0.6]]","[[1128.8    0. ]
 [   0.    12. ]]",33181,1411,49,15,944,11,467,4
44,100.0,62.8,"[[228.2   8. ]
 [  1.8   0.8]]","[[944.8   0. ]
 [  0.   10.4]]",33411,1181,51,13,791,8,390,5
46,100.0,63.6,"[[183.8   4.2]
 [  1.8   0.6]]","[[752.    0. ]
 [  0.    9.6]]",33652,940,52,12,629,8,311,4
48,100.0,65.4,"[[145.6   7.8]
 [  1.4   0.8]]","[[613.6   0. ]
 [  0.    8.8]]",33825,767,53,11,513,8,254,3
50,100.0,77.4,"[[122.6   5.8]
 [  0.8   1.2]]","[[513.6   0. ]
 [  0.    8. ]]",33950,642,54,10,429,7,213,3
52,100.0,75.8,"[[100.8   8.4]
 [  0.8   1.2]]","[[436.8   0. ]
 [  0.    8. ]]",34046,546,54,10,368,4,178,6
54,100.0,87.0,"[[83.8  4.6]
 [ 0.2  1.2]]","[[353.6   0. ]
 [  0.    5.6]]",34150,442,57,7,295,5,147,2
56,100.0,76.4,"[[64.2  4.6]
 [ 0.8  0.6]]","[[275.2   0. ]
 [  0.    5.6]]",34248,344,57,7,229,6,115,1
58,100.0,61.6,"[[45.2  8.8]
 [ 0.8  0.4]]","[[216.    0. ]
 [  0.    4.8]]",34322,270,58,6,179,5,91,1
60,83.33333333333333,65.0,"[[9.  0. ]
 [0.  0.2]]","[[36.8  0. ]
 [ 0.   0.6]]",34363,229,60,4,153,3,76,1
