Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,54.0,"[[6.8696e+03 4.8800e+01]
 [1.1600e+01 1.2000e+00]]","[[27673.6     0. ]
 [    0.     51.2]]",0,34592,0,64,23180,39,11412,25
2,100.0,53.6,"[[6.8702e+03 4.8000e+01]
 [1.1600e+01 1.2000e+00]]","[[27672.8     0. ]
 [    0.     51.2]]",1,34591,0,64,23176,42,11415,22
4,100.0,53.6,"[[6.871e+03 4.720e+01]
 [1.160e+01 1.200e+00]]","[[27672.8     0. ]
 [    0.     51.2]]",1,34591,0,64,23179,39,11412,25
6,100.0,53.6,"[[6.8694e+03 4.8800e+01]
 [1.1600e+01 1.2000e+00]]","[[27672.8     0. ]
 [    0.     51.2]]",1,34591,0,64,23181,37,11410,27
8,100.0,53.6,"[[6.8702e+03 4.8000e+01]
 [1.1600e+01 1.2000e+00]]","[[27672.8     0. ]
 [    0.     51.2]]",1,34591,0,64,23170,48,11421,16
10,100.0,53.6,"[[6.8678e+03 5.0400e+01]
 [1.1600e+01 1.2000e+00]]","[[27672.8     0. ]
 [    0.     51.2]]",1,34591,0,64,23174,44,11417,20
12,100.0,53.6,"[[6.8666e+03 5.1600e+01]
 [1.1600e+01 1.2000e+00]]","[[27672.8     0. ]
 [    0.     51.2]]",1,34591,0,64,23180,38,11411,26
14,100.0,53.6,"[[6.8694e+03 4.8800e+01]
 [1.1600e+01 1.2000e+00]]","[[27672.8     0. ]
 [    0.     51.2]]",1,34591,0,64,23175,43,11416,21
16,100.0,53.6,"[[6.8804e+03 3.7600e+01]
 [1.1600e+01 1.2000e+00]]","[[27672.      0. ]
 [    0.     51.2]]",2,34590,0,64,23174,44,11416,20
18,100.0,53.8,"[[6.8714e+03 4.2000e+01]
 [1.1600e+01 1.2000e+00]]","[[27653.6     0. ]
 [    0.     51.2]]",25,34567,0,64,23155,47,11412,17
20,100.0,53.0,"[[6.6934e+03 5.0200e+01]
 [1.1800e+01 1.0000e+00]]","[[26974.4     0. ]
 [    0.     51.2]]",874,33718,0,64,22592,41,11126,23
22,100.0,55.4,"[[6.1074e+03 4.7000e+01]
 [1.1200e+01 1.6000e+00]]","[[24617.6     0. ]
 [    0.     51.2]]",3820,30772,0,64,20613,47,10159,17
24,100.0,49.4,"[[4.7256e+03 6.3800e+01]
 [1.2200e+01 2.0000e-01]]","[[19157.6     0. ]
 [    0.     49.6]]",10645,23947,2,62,16047,39,7900,23
26,100.0,49.8,"[[3.0544e+03 3.7200e+01]
 [1.2200e+01 2.0000e-01]]","[[12366.4     0. ]
 [    0.     49.6]]",19134,15458,2,62,10354,44,5104,18
28,100.0,49.6,"[[1.7552e+03 6.4400e+01]
 [1.1600e+01 4.0000e-01]]","[[7278.4    0. ]
 [   0.    48. ]]",25494,9098,4,60,6093,42,3005,18
30,100.0,57.8,"[[975.2  38. ]
 [  7.8   2. ]]","[[4052.8    0. ]
 [   0.    39.2]]",29526,5066,15,49,3390,37,1676,12
32,100.0,68.6,"[[679.   46.2]
 [  4.    3.2]]","[[2900.8    0. ]
 [   0.    28.8]]",30966,3626,28,36,2431,22,1195,14
