Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,95.4,79.2,"[[6.1262e+03 7.9220e+02]
 [3.8000e+00 9.0000e+00]]","[[2.57174e+04 1.95620e+03]
 [6.00000e-01 5.06000e+01]]",0,34592,0,64,23179,40,11413,24
2,95.4,78.8,"[[6.1272e+03 7.9100e+02]
 [3.8000e+00 9.0000e+00]]","[[2.57108e+04 1.96200e+03]
 [6.00000e-01 5.06000e+01]]",1,34591,0,64,23179,39,11412,25
4,95.4,78.8,"[[6.1272e+03 7.9100e+02]
 [3.8000e+00 9.0000e+00]]","[[2.57108e+04 1.96200e+03]
 [6.00000e-01 5.06000e+01]]",1,34591,0,64,23177,41,11414,23
6,95.4,78.8,"[[6.1272e+03 7.9100e+02]
 [3.8000e+00 9.0000e+00]]","[[2.57108e+04 1.96200e+03]
 [6.00000e-01 5.06000e+01]]",1,34591,0,64,23183,35,11408,29
8,95.4,78.8,"[[6.1272e+03 7.9100e+02]
 [3.8000e+00 9.0000e+00]]","[[2.57108e+04 1.96200e+03]
 [6.00000e-01 5.06000e+01]]",1,34591,0,64,23168,50,11423,14
10,95.4,78.8,"[[6.1272e+03 7.9100e+02]
 [3.8000e+00 9.0000e+00]]","[[2.57108e+04 1.96200e+03]
 [6.00000e-01 5.06000e+01]]",1,34591,0,64,23170,48,11421,16
12,95.4,78.8,"[[6.1272e+03 7.9100e+02]
 [3.8000e+00 9.0000e+00]]","[[2.57108e+04 1.96200e+03]
 [6.00000e-01 5.06000e+01]]",1,34591,0,64,23179,39,11412,25
14,95.4,78.8,"[[6.1272e+03 7.9100e+02]
 [3.8000e+00 9.0000e+00]]","[[2.57108e+04 1.96200e+03]
 [6.00000e-01 5.06000e+01]]",1,34591,0,64,23170,48,11421,16
16,95.2,79.2,"[[6.128e+03 7.900e+02]
 [3.800e+00 9.000e+00]]","[[2.56514e+04 2.02060e+03]
 [6.00000e-01 5.06000e+01]]",2,34590,0,64,23181,37,11409,27
18,95.4,79.2,"[[6.1228e+03 7.9060e+02]
 [3.8000e+00 9.0000e+00]]","[[2.56988e+04 1.95480e+03]
 [6.00000e-01 5.06000e+01]]",25,34567,0,64,23159,43,11408,21
20,95.4,78.6,"[[5.964e+03 7.796e+02]
 [3.800e+00 9.000e+00]]","[[2.5029e+04 1.9454e+03]
 [6.0000e-01 5.0600e+01]]",874,33718,0,64,22594,39,11124,25
22,94.8,79.8,"[[5.501e+03 6.534e+02]
 [3.800e+00 9.000e+00]]","[[2.27972e+04 1.82040e+03]
 [1.00000e+00 5.02000e+01]]",3820,30772,0,64,20621,39,10151,25
24,96.0,75.4,"[[4404.6  384.8]
 [   5.     7.4]]","[[1.7877e+04 1.2806e+03]
 [2.0000e-01 4.9400e+01]]",10645,23947,2,62,16040,46,7907,16
26,94.8,70.8,"[[2734.   357.6]
 [   5.6    6.8]]","[[1.13254e+04 1.04100e+03]
 [6.00000e-01 4.90000e+01]]",19134,15458,2,62,10362,36,5096,26
28,94.6,71.2,"[[1449.6  370. ]
 [   4.4    7.6]]","[[6572.6  705.8]
 [   0.    48. ]]",25494,9098,4,60,6091,44,3007,16
30,94.0,73.0,"[[834.2 179. ]
 [  3.4   6.4]]","[[3610.6  442.2]
 [   0.    39.2]]",29526,5066,15,49,3396,31,1670,18
32,93.8,70.4,"[[589.  136.2]
 [  2.8   4.4]]","[[2.5854e+03 3.1540e+02]
 [2.0000e-01 2.8600e+01]]",30966,3626,28,36,2425,28,1201,8
34,93.2,68.0,"[[480.6 108.6]
 [  2.8   3.4]]","[[2.1132e+03 2.4360e+02]
 [6.0000e-01 2.4200e+01]]",31646,2946,33,31,1974,20,972,11
36,95.0,62.2,"[[368.2 121. ]
 [  2.8   2.6]]","[[1783.2  173.6]
 [   0.    21.6]]",32146,2446,37,27,1637,19,809,8
38,94.4,58.2,"[[290.8 108. ]
 [  2.4   2. ]]","[[1.4452e+03 1.5000e+02]
 [2.0000e-01 1.7400e+01]]",32598,1994,42,22,1336,14,658,8
40,92.6,71.2,"[[229.  106.4]
 [  1.    2.8]]","[[1.1718e+03 1.6980e+02]
 [2.0000e-01 1.5000e+01]]",32915,1677,45,19,1122,14,555,5
42,91.4,70.8,"[[213.   69.2]
 [  1.    2. ]]","[[9.620e+02 1.668e+02]
 [2.000e-01 1.180e+01]]",33181,1411,49,15,946,9,465,6
44,91.2,74.4,"[[172.6  63.6]
 [  0.6   2. ]]","[[785.2 159.6]
 [  0.   10.4]]",33411,1181,51,13,790,9,391,4
46,92.4,69.2,"[[136.6  51.4]
 [  0.8   1.6]]","[[645.8 106.2]
 [  0.    9.6]]",33652,940,52,12,628,9,312,3
48,93.0,75.2,"[[93.8 59.6]
 [ 0.2  2. ]]","[[533.2  80.4]
 [  0.    8.8]]",33825,767,53,11,513,8,254,3
50,93.0,84.8,"[[90.2 38.2]
 [ 0.   2. ]]","[[445.8  67.8]
 [  0.    8. ]]",33950,642,54,10,428,8,214,2
52,93.0,85.0,"[[77.6 31.6]
 [ 0.   2. ]]","[[381.2  55.6]
 [  0.    8. ]]",34046,546,54,10,366,6,180,4
54,92.8,85.0,"[[62.4 26. ]
 [ 0.   1.4]]","[[306.4  47.2]
 [  0.    5.6]]",34150,442,57,7,295,5,147,2
56,93.8,77.6,"[[52.2 16.6]
 [ 0.4  1. ]]","[[243.   32.2]
 [  0.    5.6]]",34248,344,57,7,230,5,114,2
58,91.2,77.6,"[[41.  13. ]
 [ 0.4  0.8]]","[[179.8  36.2]
 [  0.    4.8]]",34322,270,58,6,179,5,91,1
60,74.0,69.2,"[[9.  0. ]
 [0.  0.2]]","[[27.   9.8]
 [ 0.   0.6]]",34363,229,60,4,155,1,74,3
62,64.28571428571429,41.6,"[[7.2 0. ]
 [0.2 0. ]]","[[24.2  5.4]
 [ 0.   0.4]]",34408,184,61,3,123,2,61,1
64,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34483,109,64,0,73,0,36,0
66,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34521,71,64,0,47,0,24,0
68,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34530,62,64,0,41,0,21,0
70,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34531,61,64,0,40,0,21,0
72,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34531,61,64,0,40,0,21,0
74,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34531,61,64,0,40,0,21,0
76,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34531,61,64,0,40,0,21,0
78,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34531,61,64,0,40,0,21,0
