Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,77.2,68.0,"[[4.0392e+03 2.8792e+03]
 [2.8000e+00 1.0000e+01]]","[[1.68952e+04 1.07784e+04]
 [2.80000e+00 4.84000e+01]]",0,34592,0,64,23173,46,11419,18
2,77.2,68.0,"[[4.0362e+03 2.8820e+03]
 [2.8000e+00 1.0000e+01]]","[[1.68466e+04 1.08262e+04]
 [2.80000e+00 4.84000e+01]]",1,34591,0,64,23177,41,11414,23
4,77.2,68.0,"[[4.0362e+03 2.8820e+03]
 [2.8000e+00 1.0000e+01]]","[[1.68466e+04 1.08262e+04]
 [2.80000e+00 4.84000e+01]]",1,34591,0,64,23176,42,11415,22
6,77.2,68.0,"[[4.0362e+03 2.8820e+03]
 [2.8000e+00 1.0000e+01]]","[[1.68466e+04 1.08262e+04]
 [2.80000e+00 4.84000e+01]]",1,34591,0,64,23171,47,11420,17
8,77.2,68.0,"[[4.0362e+03 2.8820e+03]
 [2.8000e+00 1.0000e+01]]","[[1.68466e+04 1.08262e+04]
 [2.80000e+00 4.84000e+01]]",1,34591,0,64,23177,41,11414,23
10,77.2,68.0,"[[4.0362e+03 2.8820e+03]
 [2.8000e+00 1.0000e+01]]","[[1.68466e+04 1.08262e+04]
 [2.80000e+00 4.84000e+01]]",1,34591,0,64,23174,44,11417,20
12,77.2,68.0,"[[4.0362e+03 2.8820e+03]
 [2.8000e+00 1.0000e+01]]","[[1.68466e+04 1.08262e+04]
 [2.80000e+00 4.84000e+01]]",1,34591,0,64,23171,47,11420,17
14,77.2,68.0,"[[4.0362e+03 2.8820e+03]
 [2.8000e+00 1.0000e+01]]","[[1.68466e+04 1.08262e+04]
 [2.80000e+00 4.84000e+01]]",1,34591,0,64,23171,47,11420,17
16,77.0,68.6,"[[4.0208e+03 2.8972e+03]
 [2.6000e+00 1.0200e+01]]","[[1.68364e+04 1.08356e+04]
 [2.80000e+00 4.84000e+01]]",2,34590,0,64,23180,38,11410,26
18,77.2,67.8,"[[4.0350e+03 2.8784e+03]
 [2.8000e+00 1.0000e+01]]","[[1.68776e+04 1.07760e+04]
 [2.80000e+00 4.84000e+01]]",25,34567,0,64,23154,48,11413,16
20,76.8,67.8,"[[3.8854e+03 2.8582e+03]
 [2.6000e+00 1.0200e+01]]","[[1.62848e+04 1.06896e+04]
 [2.80000e+00 4.84000e+01]]",874,33718,0,64,22605,28,11113,36
22,75.8,66.8,"[[3.3590e+03 2.7954e+03]
 [2.6000e+00 1.0200e+01]]","[[1.43800e+04 1.02376e+04]
 [2.80000e+00 4.84000e+01]]",3820,30772,0,64,20616,44,10156,20
24,74.0,62.6,"[[2247.2 2542.2]
 [   2.6    9.8]]","[[1.0150e+04 9.0076e+03]
 [2.0000e+00 4.7600e+01]]",10645,23947,2,62,16043,43,7904,19
26,84.4,61.2,"[[2284.8  806.8]
 [   6.2    6.2]]","[[9.9092e+03 2.4572e+03]
 [5.2000e+00 4.4400e+01]]",19134,15458,2,62,10356,42,5102,20
28,84.6,55.2,"[[1207.6  612. ]
 [   6.6    5.4]]","[[5.7238e+03 1.5546e+03]
 [4.2000e+00 4.3800e+01]]",25494,9098,4,60,6095,40,3003,20
30,77.0,51.6,"[[613.2 400. ]
 [  5.4   4.4]]","[[2729.4 1323.4]
 [   4.8   34.4]]",29526,5066,15,49,3390,37,1676,12
32,76.2,54.2,"[[405.  320.2]
 [  3.4   3.8]]","[[1936.4  964.4]
 [   3.8   25. ]]",30966,3626,28,36,2431,22,1195,14
34,77.6,53.2,"[[324.8 264.4]
 [  3.    3.2]]","[[1612.4  744.4]
 [   3.    21.8]]",31646,2946,33,31,1972,22,974,9
36,77.2,49.0,"[[273.  216.2]
 [  3.2   2.2]]","[[1317.8  639. ]
 [   2.6   19. ]]",32146,2446,37,27,1636,20,810,7
38,77.6,47.2,"[[220.8 178. ]
 [  2.6   1.8]]","[[1077.6  517.6]
 [   2.    15.6]]",32598,1994,42,22,1336,14,658,8
40,74.2,48.4,"[[172.6 162.8]
 [  2.    1.8]]","[[869.8 471.8]
 [  2.4  12.8]]",32915,1677,45,19,1119,17,558,2
42,74.0,55.4,"[[184.2  98. ]
 [  1.6   1.4]]","[[742.8 386. ]
 [  2.   10. ]]",33181,1411,49,15,945,10,466,5
44,72.8,64.4,"[[164.6  71.6]
 [  1.    1.6]]","[[661.4 283.4]
 [  2.4   8. ]]",33411,1181,51,13,791,8,390,5
46,76.8,65.6,"[[135.6  52.4]
 [  1.    1.4]]","[[536.8 215.2]
 [  1.6   8. ]]",33652,940,52,12,626,11,314,1
48,80.2,78.2,"[[102.8  50.6]
 [  0.2   2. ]]","[[432.8 180.8]
 [  0.8   8. ]]",33825,767,53,11,513,8,254,3
50,87.2,87.2,"[[96.2 32.2]
 [ 0.   2. ]]","[[387.  126.6]
 [  0.    8. ]]",33950,642,54,10,430,6,212,4
52,86.6,86.6,"[[80.8 28.4]
 [ 0.   2. ]]","[[323.6 113.2]
 [  0.    8. ]]",34046,546,54,10,366,6,180,4
54,97.8,97.4,"[[84.4  4. ]
 [ 0.   1.4]]","[[341.2  12.4]
 [  0.    5.6]]",34150,442,57,7,295,5,147,2
56,97.4,87.0,"[[65.   3.8]
 [ 0.4  1. ]]","[[263.   12.2]
 [  0.    5.6]]",34248,344,57,7,230,5,114,2
58,97.8,87.8,"[[51.8  2.2]
 [ 0.4  0.8]]","[[209.    7. ]
 [  0.    4.8]]",34322,270,58,6,180,4,90,2
60,81.16666666666667,78.4,"[[9.  0. ]
 [0.  0.2]]","[[34.8  2. ]
 [ 0.   0.6]]",34363,229,60,4,153,3,76,1
62,70.0,48.8,"[[7.2 0. ]
 [0.2 0. ]]","[[29.6  0. ]
 [ 0.   0.4]]",34408,184,61,3,122,3,62,0
64,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34483,109,64,0,73,0,36,0
66,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34521,71,64,0,47,0,24,0
68,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34530,62,64,0,41,0,21,0
70,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34531,61,64,0,40,0,21,0
72,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34531,61,64,0,40,0,21,0
74,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34531,61,64,0,40,0,21,0
76,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34531,61,64,0,40,0,21,0
78,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34531,61,64,0,40,0,21,0
