Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",0,34598,0,58,23180,39,11418,19
2,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",204,34394,0,58,23041,41,11353,17
4,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",873,33725,0,58,22595,39,11130,19
6,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",2053,32545,0,58,21806,38,10739,20
8,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",3924,30674,0,58,20549,41,10125,17
10,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",6601,27997,0,58,18761,35,9236,23
12,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",10460,24138,2,56,16174,35,7964,21
14,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",16532,18066,10,48,12100,36,5966,12
16,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",21648,12950,16,42,8679,25,4271,17
18,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",26008,8590,16,42,5753,30,2837,12
20,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",29331,5267,16,42,3528,29,1739,13
22,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",30754,3844,22,36,2573,26,1271,10
24,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",31437,3161,28,30,2115,22,1046,8
26,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",31974,2624,31,27,1757,19,867,8
28,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32330,2268,33,25,1519,17,749,8
30,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32612,1986,33,25,1332,15,654,10
32,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32887,1711,34,24,1147,15,564,9
34,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33093,1505,35,23,1005,18,500,5
36,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33291,1307,37,21,878,11,429,10
38,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33463,1135,40,18,762,10,373,8
40,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33607,991,40,18,665,11,326,7
42,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33768,830,47,11,556,7,274,4
44,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33922,676,50,8,452,6,224,2
46,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34009,589,52,6,393,5,196,1
48,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34075,523,54,4,351,2,172,2
50,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34158,440,56,2,295,1,145,1
52,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34237,361,58,0,241,0,120,0
54,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34295,303,58,0,203,0,100,0
56,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34363,235,58,0,157,0,78,0
58,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34427,171,58,0,114,0,57,0
60,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34472,126,58,0,84,0,42,0
62,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34499,99,58,0,66,0,33,0
64,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34523,75,58,0,50,0,25,0
66,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34530,68,58,0,45,0,23,0
68,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34535,63,58,0,42,0,21,0
70,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34537,61,58,0,40,0,21,0
72,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34537,61,58,0,40,0,21,0
74,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34537,61,58,0,40,0,21,0
76,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34537,61,58,0,40,0,21,0
78,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34537,61,58,0,40,0,21,0
