Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,58.8,"[[5.8144e+03 1.1026e+03]
 [9.4000e+00 4.8000e+00]]","[[27265.2   402.8]
 [    0.     56.8]]",0,34585,0,71,23169,50,11416,21
2,99.0,63.4,"[[5698.8 1217.8]
 [   7.8    6.4]]","[[27269.2   397.2]
 [    0.     56.8]]",2,34583,0,71,23172,46,11411,25
4,99.0,63.4,"[[5698.8 1217.8]
 [   7.8    6.4]]","[[27269.2   397.2]
 [    0.     56.8]]",2,34583,0,71,23172,46,11411,25
6,99.0,63.4,"[[5698.8 1217.8]
 [   7.8    6.4]]","[[27269.2   397.2]
 [    0.     56.8]]",2,34583,0,71,23167,51,11416,20
8,99.0,63.4,"[[5698.8 1217.8]
 [   7.8    6.4]]","[[27269.2   397.2]
 [    0.     56.8]]",2,34583,0,71,23174,44,11409,27
10,99.0,63.4,"[[5698.8 1217.8]
 [   7.8    6.4]]","[[27269.2   397.2]
 [    0.     56.8]]",2,34583,0,71,23169,49,11414,22
12,99.0,63.4,"[[5698.8 1217.8]
 [   7.8    6.4]]","[[27269.2   397.2]
 [    0.     56.8]]",2,34583,0,71,23168,50,11415,21
14,99.0,63.4,"[[5698.8 1217.8]
 [   7.8    6.4]]","[[27269.2   397.2]
 [    0.     56.8]]",2,34583,0,71,23166,52,11417,19
16,99.0,63.4,"[[5698.8 1217.8]
 [   7.8    6.4]]","[[27269.2   397.2]
 [    0.     56.8]]",2,34583,0,71,23178,40,11405,31
18,99.0,63.4,"[[5698.8 1217.8]
 [   7.8    6.4]]","[[27269.2   397.2]
 [    0.     56.8]]",2,34583,0,71,23171,47,11412,24
20,99.0,60.6,"[[5.6478e+03 1.1786e+03]
 [8.6000e+00 5.6000e+00]]","[[26899.2   406.4]
 [    0.     56.8]]",453,34132,0,71,22870,46,11262,25
22,98.8,63.8,"[[4722.2  326.2]
 [   8.8    4.8]]","[[19922.    271.6]
 [    0.     54.4]]",9343,25242,3,68,16912,45,8330,23
24,99.0,52.2,"[[2794.4  753. ]
 [   9.2    3.4]]","[[14061.    128.6]
 [    0.     50.4]]",16848,17737,8,63,11888,38,5849,25
26,99.2,42.0,"[[1.6242e+03 4.4640e+02]
 [9.2000e+00 6.0000e-01]]","[[8228.6   53.8]
 [   0.    39.2]]",24232,10353,22,49,6940,29,3413,20
28,99.2,53.8,"[[891.6  84.2]
 [  6.2   1.2]]","[[3876.6   26.6]
 [   0.    29.6]]",29706,4879,34,37,3270,23,1609,14
30,99.0,61.4,"[[635.4  49.4]
 [  4.8   2. ]]","[[2723.8   15.4]
 [   0.    27.2]]",31161,3424,37,34,2288,28,1136,6
32,99.2,54.0,"[[515.   39.4]
 [  4.    0.8]]","[[2211.     6.6]
 [   0.    19.2]]",31813,2772,47,24,1859,14,913,10
34,99.4,60.0,"[[411.6  18.6]
 [  3.2   1. ]]","[[1717.6    3.2]
 [   0.    16.8]]",32434,2151,50,21,1443,12,708,9
36,99.8,67.4,"[[320.2  14.4]
 [  2.    1.4]]","[[1.338e+03 4.000e-01]
 [0.000e+00 1.360e+01]]",32912,1673,54,17,1119,13,554,4
38,100.0,72.4,"[[231.6  19.6]
 [  1.2   1.6]]","[[1004.8    0. ]
 [   0.    11.2]]",33329,1256,57,14,840,10,416,4
40,100.0,74.8,"[[194.2   6.2]
 [  1.2   1.4]]","[[801.6   0. ]
 [  0.   10.4]]",33583,1002,58,13,670,10,332,3
42,100.0,80.6,"[[147.4   8. ]
 [  0.8   1.6]]","[[621.6   0. ]
 [  0.    9.6]]",33808,777,59,12,521,7,256,5
44,100.0,76.0,"[[109.    8.6]
 [  0.8   1. ]]","[[470.4   0. ]
 [  0.    7.2]]",33997,588,62,9,393,6,195,3
46,100.0,65.6,"[[83.   7.4]
 [ 0.8  0.8]]","[[361.6   0. ]
 [  0.    6.4]]",34133,452,63,8,302,6,150,2
48,100.0,83.0,"[[65.6  2.2]
 [ 0.6  1. ]]","[[271.2   0. ]
 [  0.    6.4]]",34246,339,63,8,229,3,110,5
50,100.0,70.0,"[[44.6 10.8]
 [ 0.4  0.6]]","[[221.6   0. ]
 [  0.    4. ]]",34308,277,66,5,184,4,93,1
52,44.44444444444444,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34379,206,70,1,137,1,69,0
54,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34440,145,71,0,97,0,48,0
56,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34475,110,71,0,73,0,37,0
58,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34492,93,71,0,62,0,31,0
60,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34504,81,71,0,54,0,27,0
62,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34513,72,71,0,48,0,24,0
64,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34521,64,71,0,42,0,22,0
66,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
68,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
70,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
72,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
74,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
76,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
78,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
