Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,90.8,71.0,"[[5.6868e+03 1.2302e+03]
 [5.6000e+00 8.6000e+00]]","[[2.438e+04 3.288e+03]
 [3.200e+00 5.360e+01]]",0,34585,0,71,23170,49,11415,22
2,91.0,70.6,"[[5728.2 1188.4]
 [   5.8    8.4]]","[[2.43788e+04 3.28760e+03]
 [3.00000e+00 5.38000e+01]]",2,34583,0,71,23170,48,11413,23
4,91.0,70.6,"[[5728.2 1188.4]
 [   5.8    8.4]]","[[2.43788e+04 3.28760e+03]
 [3.00000e+00 5.38000e+01]]",2,34583,0,71,23171,47,11412,24
6,91.0,70.6,"[[5728.2 1188.4]
 [   5.8    8.4]]","[[2.43788e+04 3.28760e+03]
 [3.00000e+00 5.38000e+01]]",2,34583,0,71,23165,53,11418,18
8,91.0,70.6,"[[5728.2 1188.4]
 [   5.8    8.4]]","[[2.43788e+04 3.28760e+03]
 [3.00000e+00 5.38000e+01]]",2,34583,0,71,23171,47,11412,24
10,91.0,70.6,"[[5728.2 1188.4]
 [   5.8    8.4]]","[[2.43788e+04 3.28760e+03]
 [3.00000e+00 5.38000e+01]]",2,34583,0,71,23165,53,11418,18
12,91.0,70.6,"[[5728.2 1188.4]
 [   5.8    8.4]]","[[2.43788e+04 3.28760e+03]
 [3.00000e+00 5.38000e+01]]",2,34583,0,71,23172,46,11411,25
14,91.0,70.6,"[[5728.2 1188.4]
 [   5.8    8.4]]","[[2.43788e+04 3.28760e+03]
 [3.00000e+00 5.38000e+01]]",2,34583,0,71,23176,42,11407,29
16,91.0,70.6,"[[5728.2 1188.4]
 [   5.8    8.4]]","[[2.43788e+04 3.28760e+03]
 [3.00000e+00 5.38000e+01]]",2,34583,0,71,23175,43,11408,28
18,91.0,70.6,"[[5728.2 1188.4]
 [   5.8    8.4]]","[[2.43788e+04 3.28760e+03]
 [3.00000e+00 5.38000e+01]]",2,34583,0,71,23174,44,11409,27
20,90.8,70.6,"[[5.6026e+03 1.2238e+03]
 [5.6000e+00 8.6000e+00]]","[[2.40474e+04 3.25820e+03]
 [3.20000e+00 5.36000e+01]]",453,34132,0,71,22865,51,11267,20
22,93.0,67.8,"[[4355.4  693. ]
 [   6.6    7. ]]","[[1.7970e+04 2.2236e+03]
 [1.0000e+00 5.3400e+01]]",9343,25242,3,68,16916,41,8326,27
24,95.4,62.6,"[[2888.   659.4]
 [   6.8    5.8]]","[[1.30602e+04 1.12940e+03]
 [2.00000e-01 5.02000e+01]]",16848,17737,8,63,11885,41,5852,22
26,95.4,64.6,"[[1627.6  443. ]
 [   4.8    5. ]]","[[7.6942e+03 5.8820e+02]
 [2.0000e-01 3.9000e+01]]",24232,10353,22,49,6935,34,3418,15
28,95.2,65.4,"[[788.8 187. ]
 [  3.8   3.6]]","[[3578.4  324.8]
 [   0.    29.6]]",29706,4879,34,37,3273,20,1606,17
30,95.2,69.8,"[[532.2 152.6]
 [  2.6   4.2]]","[[2510.   229.2]
 [   0.    27.2]]",31161,3424,37,34,2291,25,1133,9
32,93.6,60.6,"[[439.  115.4]
 [  2.8   2. ]]","[[2.0004e+03 2.1720e+02]
 [4.0000e-01 1.8800e+01]]",31813,2772,47,24,1858,15,914,9
34,93.0,70.2,"[[337.8  92.4]
 [  1.6   2.6]]","[[1.5156e+03 2.0520e+02]
 [2.0000e-01 1.6600e+01]]",32434,2151,50,21,1439,16,712,5
36,93.4,71.0,"[[261.2  73.4]
 [  1.2   2.2]]","[[1178.2  160.2]
 [   0.    13.6]]",32912,1673,54,17,1118,14,555,3
38,95.0,84.4,"[[207.4  43.8]
 [  0.4   2.4]]","[[918.2  86.6]
 [  0.   11.2]]",33329,1256,57,14,840,10,416,4
40,94.6,86.6,"[[174.4  26. ]
 [  0.4   2.2]]","[[722.6  79. ]
 [  0.   10.4]]",33583,1002,58,13,671,9,331,4
42,95.6,87.6,"[[138.4  17. ]
 [  0.4   2. ]]","[[573.6  48. ]
 [  0.    9.6]]",33808,777,59,12,522,6,255,6
44,95.4,89.0,"[[104.2  13.4]
 [  0.2   1.6]]","[[433.2  37.2]
 [  0.    7.2]]",33997,588,62,9,395,4,193,5
46,95.4,84.0,"[[80.  10.4]
 [ 0.2  1.4]]","[[332.8  28.8]
 [  0.    6.4]]",34133,452,63,8,304,4,148,4
48,95.0,83.6,"[[59.6  8.2]
 [ 0.4  1.2]]","[[247.2  24. ]
 [  0.    6.4]]",34246,339,63,8,227,5,112,3
50,95.2,82.6,"[[47.6  7.8]
 [ 0.2  0.8]]","[[202.2  19.4]
 [  0.    4. ]]",34308,277,66,5,186,2,91,3
52,43.111111111111114,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34379,206,70,1,137,1,69,0
54,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34440,145,71,0,97,0,48,0
56,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34475,110,71,0,73,0,37,0
58,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34492,93,71,0,62,0,31,0
60,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34504,81,71,0,54,0,27,0
62,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34513,72,71,0,48,0,24,0
64,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34521,64,71,0,42,0,22,0
66,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
68,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
70,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
72,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
74,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
76,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
78,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",34524,61,71,0,40,0,21,0
